0,1,2,3,4,label
0.661,0.06,0.037,0.45,0.148,0
0.661,0.05,0.028,0.335,0.291,0
0.751,0.049,0.027,0.264,0.131,0
0.691,0.06,0.033,0.334,0.078,0
0.701,0.044,0.023,0.333,0.12,0
0.638,0.062,0.033,0.382,0.129,0
0.742,0.055,0.031,0.391,0.173,0
0.638,0.048,0.024,0.366,0.089,0
0.652,0.048,0.022,0.304,0.306,0
0.611,0.049,0.027,0.393,0.069,0
0.644,0.051,0.028,0.357,0.236,0
0.713,0.033,0.016,0.15,0.078,0
0.717,0.048,0.021,0.361,0.181,0
0.642,0.047,0.024,0.343,0.11,0
0.641,0.038,0.017,0.207,0.135,0
0.711,0.044,0.021,0.289,0.183,0
0.816,0.048,0.028,0.359,0.165,0
0.727,0.037,0.016,0.201,0.079,0
0.602,0.047,0.02,0.354,0.223,0
0.744,0.05,0.028,0.383,0.152,0
0.657,0.045,0.022,0.313,0.252,0
0.745,0.038,0.018,0.237,0.084,0
0.727,0.044,0.021,0.309,0.127,0
0.711,0.038,0.019,0.234,0.085,0
0.769,0.04,0.023,0.258,0.147,0
0.685,0.049,0.024,0.324,0.135,0
0.611,0.054,0.027,0.363,0.148,0
0.649,0.046,0.02,0.285,0.17,0
0.652,0.045,0.024,0.286,0.139,0
0.712,0.051,0.023,0.367,0.068,0
0.744,0.042,0.02,0.234,0.096,0
0.695,0.035,0.015,0.176,0.141,0
0.772,0.045,0.023,0.269,0.164,0
0.805,0.041,0.024,0.314,0.052,0
0.641,0.045,0.024,0.24,0.061,0
0.693,0.045,0.026,0.269,0.154,0
0.545,0.042,0.025,0.288,0.117,0
0.656,0.042,0.021,0.229,0.109,0
0.765,0.037,0.016,0.214,0.103,0
0.779,0.041,0.019,0.236,0.105,0
0.812,0.037,0.018,0.242,0.119,0
0.618,0.039,0.016,0.197,0.16,0
0.748,0.04,0.019,0.203,0.109,0
0.59,0.037,0.023,0.243,0.177,0
0.748,0.041,0.016,0.269,0.102,0
0.728,0.042,0.024,0.331,0.139,0
0.547,0.04,0.017,0.292,0.128,0
0.798,0.04,0.02,0.305,0.096,0
0.728,0.046,0.022,0.327,0.096,0
0.647,0.045,0.023,0.277,0.23,0
0.803,0.038,0.022,0.221,0.084,0
0.521,0.046,0.024,0.317,0.115,0
0.684,0.038,0.017,0.24,0.091,0
0.622,0.044,0.023,0.337,0.11,0
0.635,0.045,0.025,0.34,0.154,0
0.734,0.045,0.023,0.291,0.168,0
0.763,0.043,0.018,0.245,0.081,0
0.703,0.035,0.013,0.139,0.078,0
0.656,0.042,0.02,0.219,0.22,0
0.654,0.039,0.02,0.253,0.226,0
0.617,0.078,0.044,0.469,0.174,0
0.765,0.079,0.043,0.457,0.148,0
0.64,0.081,0.046,0.443,0.12,0
0.597,0.075,0.046,0.488,0.138,0
0.629,0.078,0.045,0.448,0.098,0
0.633,0.079,0.048,0.481,0.069,0
0.755,0.08,0.047,0.476,0.121,0
0.772,0.078,0.042,0.404,0.14,0
0.694,0.074,0.042,0.464,0.126,0
0.726,0.064,0.034,0.362,0.199,0
0.644,0.078,0.045,0.45,0.201,0
0.597,0.057,0.035,0.347,0.116,0
0.737,0.045,0.021,0.217,0.113,0
0.678,0.054,0.039,0.245,0.11,0
0.738,0.049,0.029,0.2,0.176,0
0.691,0.057,0.034,0.347,0.248,0
0.643,0.047,0.02,0.23,0.117,0
0.808,0.046,0.028,0.261,0.118,0
0.687,0.057,0.032,0.295,0.144,0
0.732,0.053,0.028,0.327,0.184,0
0.61,0.044,0.028,0.264,0.181,0
0.614,0.074,0.041,0.406,0.165,0
0.817,0.074,0.041,0.396,0.176,0
0.644,0.048,0.029,0.286,0.141,0
0.67,0.07,0.04,0.35,0.111,0
0.767,0.053,0.031,0.263,0.098,0
0.749,0.057,0.031,0.25,0.153,0
0.615,0.039,0.019,0.191,0.169,0
0.612,0.053,0.028,0.364,0.198,0
0.597,0.049,0.02,0.143,0.105,0
0.696,0.062,0.032,0.386,0.165,0
0.748,0.055,0.029,0.34,0.19,0
0.725,0.046,0.022,0.2,0.095,0
0.592,0.056,0.027,0.333,0.087,0
0.531,0.064,0.034,0.389,0.047,0
0.67,0.052,0.026,0.222,0.111,0
0.779,0.06,0.027,0.299,0.074,0
0.727,0.06,0.03,0.331,0.079,0
0.583,0.063,0.034,0.389,0.172,0
0.604,0.046,0.023,0.247,0.102,0
0.651,0.061,0.032,0.32,0.16,0
0.785,0.057,0.028,0.37,0.202,0
0.852,0.064,0.034,0.423,0.159,0
0.743,0.06,0.031,0.278,0.086,0
0.619,0.061,0.03,0.417,0.159,0
0.677,0.061,0.03,0.271,0.118,0
0.595,0.067,0.038,0.448,0.103,0
0.761,0.057,0.03,0.422,0.076,0
0.695,0.042,0.02,0.154,0.117,0
0.597,0.061,0.033,0.37,0.115,0
0.77,0.059,0.033,0.369,0.239,0
0.805,0.041,0.021,0.143,0.074,0
0.636,0.063,0.034,0.391,0.132,0
0.626,0.044,0.024,0.167,0.097,0
0.765,0.067,0.035,0.417,0.213,0
0.542,0.068,0.03,0.39,0.15,0
0.711,0.043,0.024,0.186,0.083,0
0.69,0.044,0.024,0.222,0.111,0
0.705,0.062,0.033,0.335,0.107,0
0.66,0.066,0.035,0.344,0.139,0
0.527,0.076,0.039,0.448,0.131,0
0.636,0.073,0.039,0.409,0.151,0
0.635,0.063,0.036,0.367,0.173,0
0.721,0.049,0.026,0.198,0.147,0
0.656,0.075,0.043,0.488,0.174,0
0.654,0.065,0.035,0.376,0.234,0
0.617,0.057,0.03,0.308,0.162,0
0.753,0.069,0.036,0.442,0.221,0
0.763,0.07,0.038,0.447,0.289,0
0.737,0.052,0.029,0.217,0.112,0
0.805,0.049,0.03,0.307,0.127,0
0.723,0.059,0.033,0.394,0.155,0
0.762,0.058,0.034,0.366,0.214,0
0.679,0.043,0.019,0.141,0.079,0
0.603,0.052,0.028,0.245,0.092,0
0.734,0.05,0.027,0.316,0.123,0
0.854,0.07,0.04,0.491,0.125,0
0.534,0.061,0.03,0.385,0.124,0
0.767,0.062,0.03,0.356,0.181,0
0.722,0.067,0.036,0.351,0.114,0
0.802,0.077,0.041,0.453,0.204,0
0.747,0.062,0.036,0.374,0.141,0
0.77,0.042,0.02,0.128,0.086,0
0.783,0.061,0.029,0.273,0.096,0
0.634,0.051,0.028,0.241,0.111,0
0.866,0.053,0.028,0.233,0.053,0
0.697,0.05,0.025,0.221,0.251,0
0.736,0.06,0.032,0.349,0.092,0
0.563,0.057,0.031,0.318,0.181,0
0.651,0.064,0.036,0.418,0.183,0
0.757,0.061,0.032,0.327,0.218,0
0.627,0.056,0.026,0.332,0.203,0
0.75,0.05,0.023,0.229,0.122,0
0.736,0.051,0.025,0.261,0.081,0
0.62,0.051,0.029,0.307,0.141,0
0.547,0.056,0.032,0.342,0.074,0
0.636,0.059,0.026,0.313,0.131,0
0.692,0.067,0.033,0.364,0.126,0
0.583,0.078,0.041,0.467,0.092,0
0.685,0.08,0.044,0.482,0.138,0
0.767,0.073,0.036,0.439,0.24,0
0.612,0.069,0.034,0.434,0.109,0
0.781,0.052,0.024,0.216,0.098,0
0.702,0.049,0.029,0.244,0.132,0
0.64,0.073,0.04,0.471,0.071,0
0.673,0.053,0.027,0.257,0.249,0
0.846,0.059,0.031,0.31,0.067,0
0.62,0.057,0.026,0.257,0.173,0
0.621,0.058,0.034,0.376,0.108,0
0.688,0.066,0.039,0.429,0.099,0
0.758,0.053,0.026,0.291,0.19,0
0.751,0.044,0.023,0.225,0.098,0
0.628,0.063,0.033,0.412,0.173,0
0.813,0.06,0.032,0.382,0.116,0
0.725,0.05,0.023,0.242,0.065,0
0.658,0.058,0.035,0.25,0.079,0
0.76,0.046,0.021,0.237,0.11,0
0.628,0.056,0.031,0.381,0.212,0
0.705,0.058,0.036,0.33,0.108,0
0.665,0.052,0.03,0.365,0.12,0
0.625,0.065,0.035,0.395,0.174,0
0.767,0.054,0.027,0.316,0.193,0
0.757,0.054,0.031,0.378,0.27,0
0.735,0.063,0.032,0.376,0.19,0
0.644,0.045,0.023,0.266,0.099,0
0.873,0.07,0.037,0.453,0.119,0
0.486,0.058,0.034,0.351,0.058,0
0.724,0.056,0.032,0.328,0.204,0
0.717,0.061,0.034,0.354,0.265,0
0.614,0.058,0.034,0.374,0.187,0
0.66,0.057,0.033,0.352,0.151,0
0.706,0.051,0.028,0.32,0.159,0
0.611,0.065,0.033,0.361,0.119,0
0.705,0.066,0.035,0.308,0.051,0
0.744,0.059,0.031,0.415,0.109,0
0.721,0.075,0.039,0.475,0.131,0
0.739,0.048,0.026,0.284,0.081,0
0.671,0.05,0.026,0.285,0.167,0
0.617,0.069,0.033,0.424,0.11,0
0.766,0.059,0.032,0.35,0.215,0
0.646,0.056,0.032,0.367,0.179,0
0.723,0.053,0.028,0.329,0.132,0
0.854,0.077,0.043,0.48,0.059,0
0.692,0.058,0.033,0.382,0.206,0
0.543,0.074,0.044,0.465,0.043,0
0.853,0.057,0.031,0.353,0.082,0
0.719,0.059,0.03,0.375,0.197,0
0.757,0.049,0.023,0.239,0.174,0
0.639,0.045,0.021,0.235,0.299,0
0.577,0.065,0.035,0.466,0.136,0
0.73,0.069,0.037,0.47,0.185,0
0.728,0.054,0.026,0.313,0.2,0
0.597,0.053,0.028,0.315,0.163,0
0.769,0.045,0.023,0.272,0.083,0
0.715,0.06,0.031,0.372,0.107,0
0.676,0.058,0.032,0.373,0.159,0
0.758,0.053,0.03,0.279,0.075,0
0.713,0.069,0.04,0.463,0.153,0
0.576,0.073,0.04,0.447,0.229,0
0.748,0.051,0.026,0.315,0.154,0
0.611,0.048,0.026,0.287,0.189,0
0.758,0.054,0.026,0.307,0.157,0
0.772,0.056,0.033,0.418,0.234,0
0.598,0.068,0.039,0.485,0.125,0
0.62,0.068,0.034,0.422,0.193,0
0.603,0.068,0.033,0.455,0.107,0
0.689,0.07,0.036,0.458,0.128,0
0.772,0.048,0.023,0.252,0.178,0
0.754,0.04,0.022,0.175,0.102,0
0.771,0.055,0.03,0.354,0.101,0
0.68,0.061,0.033,0.449,0.189,0
0.784,0.071,0.036,0.434,0.276,0
0.555,0.063,0.035,0.404,0.247,0
0.666,0.058,0.032,0.351,0.123,0
0.606,0.07,0.038,0.457,0.135,0
0.787,0.041,0.025,0.223,0.107,0
0.803,0.071,0.035,0.475,0.155,0
0.738,0.044,0.026,0.247,0.113,0
0.666,0.075,0.041,0.506,0.15,0
0.686,0.067,0.035,0.407,0.097,0
0.779,0.068,0.036,0.408,0.183,0
0.772,0.058,0.031,0.321,0.051,0
0.748,0.065,0.036,0.422,0.188,0
0.623,0.068,0.035,0.437,0.221,0
0.755,0.058,0.03,0.384,0.178,0
0.631,0.068,0.037,0.425,0.174,0
0.676,0.062,0.032,0.336,0.165,0
0.595,0.066,0.037,0.415,0.14,0
0.643,0.068,0.039,0.521,0.14,0
0.662,0.063,0.033,0.455,0.206,0
0.678,0.061,0.032,0.383,0.163,0
0.72,0.06,0.034,0.448,0.154,0
0.671,0.073,0.039,0.428,0.13,0
0.776,0.07,0.041,0.55,0.08,0
0.733,0.056,0.029,0.359,0.198,0
0.682,0.05,0.03,0.272,0.083,0
0.486,0.065,0.032,0.432,0.065,0
0.699,0.073,0.04,0.49,0.095,0
0.726,0.057,0.034,0.298,0.133,0
0.696,0.072,0.039,0.462,0.164,0
0.833,0.066,0.039,0.458,0.142,0
0.671,0.067,0.039,0.465,0.152,0
0.794,0.073,0.042,0.483,0.188,0
0.625,0.065,0.037,0.435,0.162,0
0.837,0.053,0.026,0.275,0.101,0
0.774,0.066,0.032,0.392,0.25,0
0.812,0.065,0.036,0.44,0.192,0
0.757,0.069,0.037,0.431,0.223,0
0.78,0.057,0.036,0.298,0.174,0
0.821,0.061,0.033,0.377,0.177,0
0.63,0.054,0.026,0.251,0.241,0
0.651,0.065,0.037,0.38,0.219,0
0.752,0.058,0.028,0.303,0.084,0
0.693,0.056,0.031,0.315,0.199,0
0.791,0.058,0.032,0.355,0.158,0
0.678,0.068,0.042,0.368,0.172,0
0.622,0.066,0.035,0.387,0.206,0
0.713,0.058,0.026,0.314,0.154,0
0.599,0.063,0.034,0.381,0.109,0
0.794,0.059,0.036,0.403,0.097,0
0.743,0.062,0.033,0.382,0.145,0
0.901,0.058,0.031,0.377,0.143,0
0.861,0.057,0.027,0.321,0.097,0
0.635,0.054,0.025,0.323,0.143,0
0.514,0.075,0.047,0.515,0.09,0
0.792,0.058,0.034,0.321,0.176,0
0.391,0.053,0.03,0.317,0.045,0
0.615,0.063,0.034,0.384,0.218,0
0.593,0.067,0.032,0.387,0.195,0
0.719,0.064,0.035,0.377,0.15,0
0.777,0.055,0.023,0.309,0.196,0
0.763,0.058,0.026,0.32,0.204,0
0.601,0.059,0.036,0.387,0.117,0
0.811,0.06,0.031,0.382,0.194,0
0.578,0.06,0.033,0.397,0.173,0
0.75,0.064,0.036,0.379,0.132,0
0.641,0.055,0.035,0.347,0.224,0
0.715,0.073,0.044,0.451,0.083,0
0.749,0.07,0.043,0.412,0.237,0
0.734,0.054,0.028,0.357,0.124,0
0.65,0.067,0.039,0.39,0.17,0
0.696,0.065,0.033,0.449,0.182,0
0.659,0.075,0.039,0.506,0.108,0
0.706,0.057,0.03,0.333,0.157,0
0.706,0.039,0.02,0.19,0.122,0
0.765,0.039,0.016,0.136,0.058,0
0.777,0.054,0.028,0.302,0.155,0
0.766,0.063,0.038,0.4,0.189,0
0.758,0.052,0.026,0.255,0.135,0
0.758,0.053,0.028,0.276,0.15,0
0.716,0.045,0.024,0.248,0.155,0
0.627,0.055,0.034,0.314,0.174,0
0.659,0.057,0.031,0.349,0.203,0
0.705,0.06,0.032,0.374,0.146,0
0.618,0.058,0.03,0.315,0.159,0
0.817,0.061,0.033,0.347,0.14,0
0.577,0.047,0.021,0.216,0.078,0
0.693,0.049,0.025,0.265,0.126,0
0.755,0.051,0.031,0.292,0.118,0
0.691,0.049,0.025,0.27,0.146,0
0.691,0.066,0.035,0.419,0.117,0
0.775,0.052,0.027,0.281,0.112,0
0.66,0.051,0.03,0.296,0.103,0
0.671,0.052,0.027,0.334,0.163,0
0.575,0.054,0.029,0.353,0.13,0
0.623,0.055,0.03,0.312,0.137,0
0.784,0.052,0.027,0.293,0.165,0
0.73,0.049,0.029,0.279,0.099,0
0.916,0.055,0.024,0.366,0.052,0
0.705,0.057,0.029,0.378,0.111,0
0.677,0.053,0.027,0.331,0.111,0
0.681,0.066,0.037,0.42,0.138,0
0.74,0.053,0.027,0.329,0.097,0
0.715,0.049,0.024,0.283,0.166,0
0.728,0.057,0.03,0.4,0.116,0
0.633,0.056,0.028,0.384,0.183,0
0.99,0.047,0.025,0.268,0.017,0
0.741,0.063,0.035,0.442,0.128,0
0.654,0.065,0.033,0.456,0.113,0
0.826,0.047,0.021,0.273,0.116,0
0.911,0.065,0.038,0.441,0.059,0
0.758,0.06,0.028,0.358,0.245,0
0.765,0.048,0.024,0.3,0.199,0
0.727,0.055,0.03,0.346,0.152,0
0.55,0.069,0.031,0.424,0.136,0
0.794,0.062,0.031,0.38,0.271,0
0.641,0.075,0.043,0.502,0.113,0
0.708,0.065,0.035,0.401,0.139,0
0.754,0.055,0.029,0.309,0.238,0
0.635,0.058,0.03,0.338,0.183,0
0.822,0.072,0.035,0.441,0.187,0
0.769,0.061,0.026,0.28,0.202,0
0.755,0.056,0.026,0.344,0.247,0
0.834,0.068,0.033,0.486,0.22,0
0.639,0.056,0.027,0.286,0.212,0
0.616,0.078,0.039,0.476,0.208,0
0.613,0.053,0.023,0.262,0.211,0
0.758,0.047,0.019,0.171,0.158,0
0.752,0.072,0.045,0.55,0.071,0
0.674,0.082,0.047,0.562,0.107,0
0.651,0.071,0.037,0.424,0.111,0
0.66,0.055,0.032,0.33,0.216,0
0.823,0.054,0.027,0.357,0.095,0
0.56,0.053,0.021,0.243,0.234,0
0.757,0.055,0.024,0.226,0.153,0
0.621,0.06,0.03,0.277,0.05,0
0.642,0.056,0.026,0.352,0.173,0
0.799,0.067,0.032,0.366,0.14,0
0.712,0.062,0.031,0.383,0.18,0
0.733,0.05,0.025,0.268,0.15,0
0.745,0.055,0.027,0.274,0.172,0
0.726,0.059,0.03,0.385,0.131,0
0.72,0.043,0.029,0.302,0.148,0
0.874,0.091,0.053,0.591,0.08,0
0.771,0.051,0.027,0.255,0.099,0
0.744,0.049,0.025,0.306,0.27,0
0.706,0.05,0.021,0.24,0.188,0
0.77,0.05,0.021,0.224,0.115,0
0.662,0.082,0.046,0.499,0.2,0
0.74,0.081,0.042,0.487,0.275,0
0.755,0.052,0.023,0.189,0.128,0
0.654,0.058,0.028,0.268,0.243,0
0.799,0.073,0.038,0.446,0.179,0
0.683,0.067,0.045,0.507,0.191,0
0.6,0.09,0.049,0.592,0.059,0
0.749,0.047,0.023,0.217,0.099,0
0.68,0.058,0.034,0.461,0.06,0
0.783,0.042,0.02,0.228,0.06,0
0.718,0.044,0.016,0.203,0.173,0
0.662,0.075,0.037,0.558,0.162,0
0.61,0.073,0.037,0.442,0.147,0
0.642,0.06,0.037,0.375,0.211,0
0.586,0.054,0.029,0.282,0.169,0
0.63,0.063,0.032,0.413,0.185,0
0.516,0.045,0.021,0.245,0.15,0
0.629,0.064,0.035,0.471,0.093,0
0.635,0.061,0.025,0.28,0.165,0
0.606,0.062,0.034,0.352,0.236,0
0.692,0.049,0.027,0.27,0.152,0
0.745,0.05,0.027,0.258,0.14,0
0.69,0.062,0.034,0.339,0.188,0
0.686,0.057,0.031,0.369,0.155,0
0.754,0.073,0.037,0.472,0.158,0
0.731,0.053,0.023,0.251,0.112,0
0.696,0.065,0.033,0.391,0.126,0
0.609,0.069,0.046,0.444,0.149,0
0.67,0.084,0.048,0.513,0.16,0
0.701,0.09,0.047,0.608,0.093,0
0.696,0.061,0.033,0.343,0.124,0
0.795,0.057,0.031,0.313,0.112,0
0.693,0.058,0.032,0.401,0.177,0
0.712,0.041,0.017,0.244,0.158,0
0.699,0.05,0.021,0.306,0.193,0
0.75,0.061,0.033,0.306,0.258,0
0.652,0.055,0.027,0.299,0.203,0
0.778,0.056,0.031,0.359,0.225,0
0.649,0.073,0.041,0.511,0.186,0
0.653,0.09,0.048,0.562,0.131,0
0.71,0.071,0.04,0.484,0.091,0
0.801,0.072,0.041,0.39,0.254,0
0.726,0.073,0.041,0.386,0.145,0
0.768,0.047,0.021,0.166,0.095,0
0.688,0.049,0.025,0.25,0.113,0
0.733,0.053,0.027,0.312,0.166,0
0.691,0.073,0.036,0.383,0.167,0
0.699,0.056,0.028,0.297,0.102,0
0.79,0.052,0.029,0.287,0.092,0
0.849,0.06,0.034,0.429,0.117,0
0.656,0.064,0.037,0.436,0.174,0
0.566,0.065,0.04,0.471,0.102,0
0.685,0.058,0.031,0.388,0.178,0
0.773,0.066,0.039,0.498,0.209,0
0.843,0.065,0.033,0.388,0.146,0
0.617,0.076,0.039,0.386,0.126,0
0.682,0.063,0.031,0.372,0.181,0
0.791,0.078,0.042,0.473,0.093,0
0.716,0.071,0.038,0.463,0.094,0
0.725,0.072,0.035,0.39,0.291,0
0.784,0.049,0.024,0.231,0.106,0
0.657,0.079,0.043,0.45,0.212,0
0.779,0.068,0.031,0.32,0.204,0
0.636,0.076,0.038,0.472,0.187,0
0.702,0.082,0.044,0.498,0.112,0
0.69,0.059,0.03,0.345,0.155,0
0.656,0.071,0.041,0.491,0.206,0
0.712,0.064,0.034,0.448,0.175,0
0.581,0.06,0.029,0.399,0.16,0
0.7,0.049,0.023,0.235,0.246,0
0.632,0.074,0.039,0.475,0.111,0
0.64,0.087,0.051,0.572,0.04,0
0.518,0.052,0.028,0.291,0.15,0
0.557,0.059,0.027,0.292,0.136,0
0.633,0.068,0.036,0.464,0.128,0
0.582,0.065,0.037,0.392,0.098,0
0.756,0.075,0.04,0.426,0.191,0
0.781,0.063,0.029,0.347,0.185,0
0.673,0.059,0.031,0.336,0.172,0
0.752,0.057,0.029,0.332,0.154,0
0.736,0.046,0.019,0.167,0.117,0
0.655,0.075,0.041,0.465,0.142,0
0.6,0.057,0.024,0.278,0.164,0
0.7,0.058,0.03,0.328,0.185,0
0.654,0.081,0.045,0.515,0.138,0
0.682,0.073,0.043,0.474,0.155,0
0.788,0.065,0.04,0.426,0.191,0
0.609,0.064,0.041,0.435,0.12,0
0.565,0.083,0.044,0.53,0.088,0
0.65,0.082,0.045,0.513,0.231,0
0.669,0.08,0.042,0.479,0.123,0
0.717,0.052,0.019,0.217,0.142,0
0.682,0.054,0.027,0.284,0.155,0
0.691,0.07,0.04,0.432,0.142,0
0.75,0.084,0.047,0.552,0.074,0
0.565,0.084,0.047,0.535,0.107,0
0.754,0.065,0.034,0.381,0.226,0
0.738,0.058,0.029,0.364,0.144,0
0.688,0.071,0.039,0.432,0.153,0
0.607,0.087,0.048,0.53,0.13,0
0.684,0.067,0.035,0.394,0.154,0
0.517,0.075,0.038,0.45,0.163,0
0.748,0.076,0.039,0.464,0.224,0
0.612,0.066,0.036,0.373,0.26,0
0.812,0.064,0.035,0.361,0.164,0
0.652,0.061,0.034,0.375,0.156,0
0.631,0.064,0.032,0.402,0.098,0
0.716,0.069,0.039,0.407,0.269,0
0.729,0.053,0.026,0.257,0.165,0
0.741,0.072,0.038,0.446,0.142,0
0.884,0.076,0.042,0.482,0.159,0
0.797,0.083,0.042,0.465,0.165,0
0.818,0.049,0.027,0.24,0.094,0
0.738,0.044,0.019,0.21,0.119,0
0.551,0.077,0.045,0.472,0.112,0
0.51,0.079,0.047,0.484,0.106,0
0.635,0.068,0.038,0.426,0.216,0
0.758,0.052,0.025,0.253,0.118,0
0.639,0.049,0.026,0.301,0.236,0
0.852,0.071,0.039,0.423,0.189,0
0.667,0.074,0.041,0.437,0.142,0
0.602,0.066,0.037,0.403,0.068,0
0.638,0.056,0.028,0.314,0.156,0
0.704,0.068,0.036,0.337,0.084,0
0.705,0.054,0.03,0.258,0.138,0
0.633,0.048,0.025,0.227,0.255,0
0.7,0.066,0.038,0.391,0.15,0
0.794,0.049,0.026,0.158,0.12,0
0.738,0.054,0.026,0.267,0.194,0
0.649,0.042,0.025,0.23,0.147,0
0.74,0.052,0.021,0.202,0.221,0
0.75,0.061,0.028,0.329,0.097,0
0.644,0.064,0.036,0.388,0.178,0
0.747,0.059,0.032,0.342,0.119,0
0.904,0.061,0.036,0.345,0.072,0
0.752,0.061,0.035,0.412,0.226,0
0.584,0.055,0.028,0.272,0.157,0
0.756,0.046,0.022,0.189,0.105,0
0.723,0.057,0.034,0.381,0.106,0
0.663,0.067,0.039,0.412,0.149,0
0.543,0.077,0.041,0.45,0.139,0
0.737,0.042,0.019,0.126,0.14,0
0.786,0.046,0.025,0.226,0.083,0
0.64,0.048,0.026,0.26,0.161,0
0.806,0.064,0.036,0.343,0.112,0
0.666,0.069,0.039,0.395,0.2,0
0.809,0.065,0.037,0.356,0.155,0
0.687,0.053,0.027,0.237,0.148,0
0.697,0.048,0.026,0.225,0.114,0
0.629,0.066,0.037,0.378,0.118,0
0.911,0.054,0.035,0.364,0.042,0
0.66,0.07,0.036,0.408,0.148,0
0.605,0.045,0.023,0.22,0.195,0
0.801,0.044,0.025,0.255,0.185,0
0.768,0.062,0.031,0.369,0.16,0
0.566,0.048,0.028,0.288,0.154,0
0.705,0.058,0.029,0.365,0.143,0
0.723,0.066,0.035,0.348,0.067,0
0.607,0.055,0.032,0.337,0.183,0
0.689,0.066,0.044,0.203,0.11,0
0.728,0.049,0.026,0.252,0.1,0
0.713,0.042,0.02,0.124,0.087,0
0.761,0.052,0.031,0.255,0.216,0
0.716,0.047,0.024,0.285,0.143,0
0.623,0.06,0.032,0.416,0.195,0
0.721,0.06,0.033,0.406,0.136,0
0.746,0.054,0.026,0.251,0.105,0
0.729,0.058,0.034,0.341,0.168,0
