0,1,2,3,4,5,6,label
0.617,0.649,0.736,0.535,0.667,0.272,0.604,1
0.561,0.605,0.673,0.55,0.597,0.62,0.67,1
0.768,0.781,0.813,0.623,0.875,0.593,0.67,1
0.907,0.926,0.738,0.78,0.88,0.573,0.821,1
0.848,0.895,0.633,0.836,0.814,0.092,0.864,1
0.842,0.888,0.634,0.826,0.835,0.286,0.82,1
0.725,0.76,0.716,0.717,0.728,0.218,0.826,1
0.783,0.795,0.806,0.667,0.808,0.115,0.783,1
0.792,0.878,0.462,0.929,0.741,0.38,0.974,1
1.0,0.992,0.824,0.943,1.0,0.652,0.843,1
0.972,0.959,0.862,0.873,0.999,0.553,0.887,1
0.898,0.946,0.603,0.947,0.823,0.155,0.95,1
0.771,0.783,0.819,0.717,0.831,0.306,0.755,1
0.776,0.802,0.749,0.773,0.758,0.321,0.755,1
0.755,0.752,0.894,0.641,0.877,0.681,0.669,1
0.734,0.849,0.337,0.995,0.609,0.542,0.95,1
0.593,0.669,0.515,0.698,0.594,0.381,0.713,1
0.823,0.864,0.666,0.812,0.841,0.353,0.846,1
0.792,0.86,0.55,0.873,0.657,0.179,0.952,1
0.716,0.795,0.505,0.773,0.629,0.271,0.864,1
0.768,0.812,0.662,0.743,0.751,0.185,0.777,1
0.55,0.587,0.712,0.461,0.638,0.449,0.541,1
0.699,0.713,0.827,0.558,0.758,0.169,0.649,1
0.838,0.845,0.82,0.684,0.9,0.461,0.734,1
0.811,0.872,0.577,0.828,0.749,0.337,0.842,1
0.789,0.829,0.679,0.76,0.802,0.338,0.802,1
0.778,0.802,0.759,0.641,0.824,0.232,0.67,1
0.78,0.777,0.885,0.706,0.838,0.27,0.828,1
0.665,0.713,0.652,0.639,0.672,0.388,0.694,1
0.883,0.932,0.609,1.0,0.808,0.323,1.0,1
0.752,0.787,0.711,0.706,0.744,0.127,0.677,1
0.742,0.767,0.762,0.68,0.812,0.191,0.628,1
0.83,0.89,0.576,0.791,0.828,0.379,0.712,1
0.806,0.806,0.866,0.723,0.907,0.175,0.692,1
0.807,0.868,0.582,0.766,0.789,0.769,0.755,1
0.98,1.0,0.706,0.937,0.97,0.509,0.885,1
0.8,0.835,0.701,0.854,0.776,0.193,0.809,1
0.79,0.783,0.904,0.649,0.903,0.464,0.606,1
0.808,0.835,0.734,0.758,0.845,0.302,0.82,1
0.784,0.789,0.841,0.748,0.812,0.374,0.712,1
0.891,0.928,0.662,0.898,0.875,0.299,0.887,1
0.911,0.93,0.74,0.797,0.949,0.668,0.822,1
0.713,0.767,0.627,0.653,0.665,0.371,0.735,1
0.527,0.614,0.46,0.486,0.54,0.458,0.583,1
0.74,0.736,0.904,0.609,0.813,0.289,0.682,1
0.51,0.512,0.892,0.261,0.679,0.334,0.308,1
0.771,0.779,0.833,0.682,0.883,0.445,0.725,1
0.761,0.826,0.56,0.78,0.687,0.471,0.779,1
0.698,0.711,0.828,0.608,0.753,0.194,0.689,1
0.904,0.955,0.593,0.909,0.815,0.149,0.82,1
0.657,0.671,0.826,0.502,0.756,0.598,0.562,1
0.728,0.719,0.932,0.608,0.802,0.269,0.71,1
0.788,0.808,0.781,0.701,0.852,0.279,0.704,1
0.452,0.514,0.567,0.555,0.455,0.481,0.628,1
0.526,0.603,0.511,0.533,0.545,0.455,0.628,1
0.469,0.512,0.673,0.494,0.555,0.547,0.654,1
0.452,0.465,0.825,0.325,0.595,0.369,0.453,1
0.639,0.692,0.639,0.702,0.673,0.359,0.715,1
0.47,0.566,0.405,0.575,0.428,0.244,0.67,1
0.473,0.558,0.453,0.525,0.468,0.255,0.607,1
0.533,0.572,0.698,0.548,0.6,0.391,0.691,1
0.234,0.312,0.362,0.323,0.259,0.59,0.431,2
0.258,0.316,0.483,0.361,0.316,0.815,0.453,2
0.26,0.318,0.489,0.276,0.316,0.68,0.388,2
0.154,0.188,0.518,0.183,0.24,0.612,0.346,2
0.116,0.205,0.175,0.234,0.105,0.482,0.324,2
0.059,0.149,0.078,0.214,0.041,0.703,0.372,2
0.079,0.149,0.23,0.156,0.063,0.189,0.302,2
0.179,0.217,0.524,0.207,0.24,0.475,0.238,2
0.199,0.269,0.372,0.274,0.2,0.324,0.392,2
0.019,0.107,0.024,0.235,0.013,0.611,0.332,2
0.117,0.169,0.377,0.205,0.15,0.576,0.388,2
0.134,0.229,0.152,0.285,0.104,0.81,0.37,2
0.158,0.246,0.229,0.287,0.145,0.519,0.414,2
0.056,0.13,0.168,0.181,0.045,0.334,0.237,2
0.073,0.132,0.273,0.155,0.089,0.427,0.366,2
0.057,0.132,0.156,0.198,0.032,0.656,0.345,2
0.071,0.095,0.467,0.087,0.156,0.336,0.238,2
0.145,0.273,0.0,0.279,0.082,0.528,0.345,2
0.11,0.229,0.001,0.307,0.034,0.47,0.389,2
0.085,0.167,0.165,0.228,0.046,0.601,0.389,2
0.184,0.26,0.312,0.311,0.177,0.301,0.479,2
0.135,0.19,0.383,0.254,0.128,0.456,0.388,2
0.138,0.207,0.304,0.207,0.155,0.549,0.259,2
0.185,0.24,0.433,0.244,0.241,0.475,0.323,2
0.052,0.079,0.433,0.063,0.117,0.731,0.261,2
0.143,0.153,0.646,0.116,0.222,0.187,0.264,2
0.175,0.244,0.346,0.236,0.19,0.541,0.37,2
0.147,0.215,0.328,0.292,0.148,0.374,0.403,2
0.072,0.147,0.191,0.156,0.027,0.464,0.302,2
0.061,0.122,0.252,0.108,0.061,0.358,0.28,2
0.041,0.122,0.098,0.24,0.051,0.776,0.317,2
0.091,0.143,0.339,0.151,0.153,0.774,0.215,2
0.064,0.116,0.307,0.106,0.095,0.461,0.237,2
0.076,0.138,0.267,0.133,0.095,0.627,0.281,2
0.023,0.114,0.016,0.213,0.008,0.574,0.328,2
0.02,0.033,0.462,0.046,0.136,0.521,0.268,2
0.063,0.124,0.249,0.162,0.057,0.594,0.282,2
0.014,0.066,0.225,0.139,0.009,0.512,0.219,2
0.084,0.132,0.356,0.158,0.091,0.665,0.238,2
0.153,0.219,0.338,0.258,0.187,0.116,0.324,2
0.077,0.112,0.435,0.108,0.103,0.545,0.151,2
0.177,0.207,0.567,0.19,0.276,0.549,0.309,2
0.151,0.196,0.452,0.192,0.199,0.532,0.315,2
0.1,0.136,0.448,0.118,0.157,0.578,0.303,2
0.217,0.281,0.417,0.336,0.282,0.705,0.392,2
0.092,0.186,0.106,0.261,0.038,0.429,0.326,2
0.115,0.215,0.106,0.289,0.061,0.537,0.41,2
0.03,0.081,0.264,0.106,0.032,0.444,0.215,2
0.06,0.085,0.466,0.107,0.136,0.879,0.216,2
0.0,0.0,0.515,0.0,0.112,0.547,0.135,2
0.032,0.081,0.28,0.083,0.062,0.602,0.259,2
0.064,0.093,0.437,0.108,0.124,0.419,0.237,2
0.121,0.126,0.648,0.131,0.23,0.368,0.302,2
0.022,0.087,0.159,0.158,0.0,0.532,0.281,2
0.144,0.178,0.506,0.19,0.246,0.438,0.243,2
0.209,0.219,0.707,0.147,0.354,0.534,0.194,2
0.208,0.231,0.64,0.183,0.302,0.613,0.216,2
0.263,0.283,0.697,0.237,0.355,0.508,0.282,2
0.192,0.26,0.363,0.288,0.2,0.33,0.351,2
0.205,0.2,0.801,0.098,0.374,0.268,0.153,2
0.169,0.213,0.479,0.18,0.256,0.612,0.259,2
0.196,0.188,0.813,0.048,0.36,0.2,0.111,2
0.056,0.064,0.544,0.062,0.128,0.427,0.152,2
0.199,0.207,0.72,0.16,0.329,1.0,0.237,2
0.168,0.219,0.441,0.172,0.235,0.41,0.237,2
0.151,0.163,0.637,0.134,0.25,0.373,0.173,2
0.06,0.097,0.39,0.136,0.118,0.463,0.238,2
0.246,0.258,0.728,0.19,0.429,0.982,0.264,2
0.118,0.165,0.399,0.155,0.147,0.368,0.258,2
0.161,0.192,0.547,0.194,0.245,0.633,0.268,2
