0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,label
0.15,0.417,,0.0,0.0,0.025,0.0,0.02,0.0,0.042,0.051,0.051,0.024,0.882,0.184,0.446,0.052,0.563,0.314,0
0.087,0.567,,0.0,0.0,0.011,0.0,0.016,0.0,0.032,0.03,0.049,0.016,0.81,0.222,0.457,0.051,0.698,0.249,0
0.292,0.267,,0.0,0.0,0.097,0.005,0.05,0.003,0.181,0.17,0.23,0.139,0.701,0.412,0.262,0.23,0.43,0.203,0
0.312,0.438,,0.0,0.0,0.051,0.002,0.035,0.001,0.151,0.155,0.183,0.115,0.81,0.318,0.304,0.183,0.407,0.237,0
0.937,0.446,,0.0,0.0,0.011,0.0,0.017,0.0,0.035,0.045,0.041,0.018,0.896,0.171,0.454,0.044,0.617,0.335,0
0.13,0.3,,0.0,0.0,0.049,0.0,0.055,0.0,0.136,0.143,0.162,0.101,0.84,0.291,0.317,0.162,0.41,0.258,0
0.32,0.408,,0.333,0.0,0.025,0.0,0.03,0.001,0.124,0.14,0.139,0.092,0.907,0.234,0.34,0.139,0.376,0.297,0
0.087,0.308,,0.0,0.0,0.049,0.001,0.04,0.001,0.125,0.138,0.145,0.092,0.881,0.256,0.33,0.145,0.4,0.278,0
0.004,0.138,,0.0,0.0,0.074,0.002,0.053,0.001,0.131,0.126,0.167,0.096,0.763,0.338,0.319,0.167,0.458,0.217,0
0.241,0.554,,0.0,0.0,0.01,0.0,0.016,0.0,0.034,0.044,0.038,0.019,0.894,0.162,0.469,0.041,0.575,0.348,0
0.423,0.425,,0.0,0.0,0.015,0.0,0.01,0.0,0.038,0.05,0.044,0.021,0.903,0.168,0.45,0.046,0.566,0.345,0
0.553,0.238,,0.0,0.0,0.049,0.001,0.048,0.001,0.19,0.177,0.244,0.143,0.685,0.44,0.233,0.244,0.446,0.201,0
0.225,0.462,,0.0,0.0,0.01,0.0,0.012,0.0,0.039,0.051,0.044,0.023,0.903,0.165,0.455,0.048,0.552,0.349,0
0.447,0.458,,0.0,0.0,0.015,0.0,0.014,0.0,0.045,0.058,0.049,0.027,0.914,0.165,0.444,0.053,0.528,0.358,0
0.332,0.375,,0.0,0.0,0.046,0.001,0.029,0.001,0.148,0.155,0.177,0.111,0.83,0.306,0.302,0.177,0.405,0.249,0
0.142,0.479,,0.0,0.0,0.013,0.0,0.01,0.0,0.04,0.054,0.045,0.022,0.918,0.164,0.442,0.049,0.581,0.361,0
0.126,0.442,,0.0,0.0,0.017,0.0,0.022,0.0,0.045,0.053,0.054,0.027,0.879,0.188,0.442,0.054,0.539,0.304,0
0.277,0.329,,0.0,0.0,0.095,0.002,0.114,0.002,0.158,0.16,0.193,0.118,0.802,0.338,0.279,0.193,0.42,0.239,0
0.312,0.35,,0.0,0.0,0.042,0.001,0.021,0.0,0.149,0.156,0.177,0.114,0.83,0.299,0.313,0.177,0.39,0.248,0
0.581,0.438,,0.0,0.0,0.017,0.0,0.026,0.0,0.043,0.052,0.051,0.025,0.884,0.181,0.448,0.052,0.545,0.316,0
0.004,0.217,,0.0,0.0,0.042,0.001,0.034,0.001,0.126,0.126,0.157,0.094,0.791,0.309,0.336,0.157,0.435,0.228,0
0.123,0.142,,0.0,0.0,0.078,0.003,0.073,0.001,0.153,0.15,0.191,0.115,0.765,0.349,0.298,0.191,0.428,0.22,0
0.605,0.454,,0.0,0.0,0.015,0.0,0.01,0.0,0.042,0.057,0.045,0.023,0.925,0.158,0.444,0.052,0.569,0.373,0
0.577,0.338,,0.0,0.0,0.038,0.0,0.031,0.002,0.163,0.166,0.199,0.123,0.8,0.34,0.277,0.199,0.414,0.233,0
0.395,0.288,,0.0,0.0,0.122,0.002,0.067,0.003,0.173,0.177,0.209,0.13,0.81,0.346,0.258,0.209,0.412,0.239,0
0.478,0.333,,0.0,0.0,0.076,0.002,0.048,0.001,0.157,0.16,0.191,0.117,0.81,0.332,0.281,0.191,0.421,0.237,0
0.123,0.425,,0.0,0.0,0.017,0.0,0.006,0.0,0.043,0.053,0.052,0.024,0.888,0.184,0.44,0.052,0.563,0.314,0
0.162,0.2,,0.0,0.0,0.063,0.004,0.046,0.001,0.152,0.152,0.191,0.111,0.782,0.353,0.275,0.191,0.445,0.229,0
0.344,0.321,,0.0,0.0,0.029,0.0,0.065,0.002,0.154,0.156,0.189,0.117,0.793,0.332,0.298,0.189,0.413,0.233,0
0.059,0.488,,0.0,0.0,0.017,0.0,0.015,0.0,0.039,0.05,0.044,0.022,0.901,0.167,0.454,0.047,0.562,0.346,0
0.15,0.417,,0.0,0.0,0.025,0.0,0.02,0.0,0.042,0.051,0.051,0.024,0.882,0.184,0.446,0.052,0.563,0.314,0
0.142,0.429,,1.0,0.0,0.048,0.002,0.087,0.003,0.12,0.139,0.133,0.088,0.924,0.224,0.34,0.136,0.394,0.314,0
0.213,0.488,,0.0,0.0,0.011,0.0,0.009,0.0,0.035,0.05,0.036,0.019,0.927,0.145,0.463,0.046,0.594,0.395,0
0.771,0.512,,0.0,0.0,0.019,0.0,0.017,0.0,0.042,0.054,0.047,0.026,0.903,0.165,0.455,0.052,0.53,0.349,0
0.292,0.575,,0.0,0.0,0.017,0.0,0.024,0.0,0.052,0.041,0.079,0.036,0.735,0.271,0.455,0.079,0.579,0.172,0
0.087,0.425,,0.0,0.0,0.025,0.001,0.062,0.002,0.103,0.125,0.112,0.071,0.955,0.201,0.343,0.122,0.451,0.347,0
0.111,0.229,,0.0,0.0,0.087,0.002,0.048,0.004,0.158,0.155,0.198,0.118,0.763,0.362,0.279,0.198,0.438,0.22,0
0.012,0.121,,0.0,0.0,0.046,0.003,0.025,0.002,0.12,0.114,0.155,0.088,0.757,0.327,0.342,0.155,0.463,0.212,0
0.783,0.538,,0.0,0.0,0.015,0.0,0.011,0.0,0.042,0.054,0.046,0.026,0.907,0.16,0.459,0.05,0.514,0.357,0
0.332,0.375,,0.0,0.0,0.046,0.001,0.029,0.001,0.148,0.155,0.177,0.111,0.83,0.306,0.302,0.177,0.405,0.249,0
0.542,0.438,,0.0,0.0,0.021,0.0,0.01,0.0,0.045,0.055,0.054,0.026,0.888,0.187,0.435,0.055,0.559,0.311,0
0.743,0.433,,0.0,0.0,0.006,0.0,0.007,0.0,0.046,0.06,0.052,0.027,0.912,0.171,0.436,0.056,0.539,0.349,0
0.577,0.417,,0.0,0.0,0.013,0.0,0.01,0.0,0.04,0.051,0.046,0.021,0.901,0.174,0.442,0.049,0.591,0.336,0
0.304,0.4,,0.0,0.0,0.029,0.001,0.036,0.001,0.12,0.134,0.137,0.088,0.892,0.242,0.342,0.138,0.395,0.291,0
0.862,0.512,,0.0,0.0,0.01,0.0,0.015,0.0,0.033,0.047,0.035,0.018,0.92,0.147,0.467,0.043,0.604,0.388,0
0.028,0.283,,0.0,0.0,0.044,0.002,0.047,0.0,0.117,0.126,0.139,0.085,0.86,0.265,0.338,0.139,0.422,0.267,0
0.739,0.508,,0.0,0.0,0.011,0.0,0.011,0.0,0.046,0.061,0.052,0.027,0.918,0.167,0.436,0.056,0.539,0.356,0
0.119,0.396,,0.0,0.0,0.055,0.001,0.016,0.001,0.133,0.143,0.157,0.099,0.856,0.276,0.323,0.157,0.403,0.262,0
0.13,0.433,,0.0,0.0,0.017,0.0,0.017,0.0,0.044,0.053,0.052,0.026,0.886,0.182,0.444,0.053,0.542,0.314,0
0.233,0.5,,0.0,0.0,0.011,0.0,0.007,0.0,0.036,0.053,0.036,0.021,0.935,0.139,0.465,0.048,0.581,0.407,0
0.478,0.396,,0.333,0.0,0.055,0.001,0.036,0.002,0.161,0.16,0.198,0.121,0.782,0.349,0.281,0.198,0.423,0.226,0
0.379,0.479,,0.0,0.0,0.036,0.0,0.022,0.001,0.045,0.056,0.053,0.027,0.894,0.18,0.44,0.055,0.552,0.323,0
0.312,0.438,,0.0,0.0,0.051,0.002,0.035,0.001,0.151,0.155,0.183,0.115,0.81,0.318,0.304,0.183,0.407,0.237,0
0.02,0.329,,0.0,0.0,0.067,0.001,0.03,0.001,0.126,0.137,0.147,0.094,0.868,0.259,0.34,0.147,0.388,0.272,0
0.368,0.233,,0.0,0.0,0.087,0.003,0.035,0.001,0.166,0.167,0.204,0.123,0.791,0.355,0.262,0.204,0.43,0.231,0
0.498,0.446,,0.667,0.0,0.059,0.002,0.077,0.007,0.159,0.157,0.192,0.124,0.774,0.331,0.319,0.192,0.39,0.224,0
0.261,0.446,,0.0,0.0,0.038,0.0,0.051,0.003,0.147,0.147,0.181,0.111,0.789,0.329,0.306,0.181,0.417,0.239,0
0.119,0.213,,0.0,0.0,0.063,0.001,0.041,0.001,0.148,0.15,0.18,0.111,0.802,0.324,0.302,0.18,0.419,0.234,0
0.146,0.125,,0.333,0.0,0.061,0.002,0.037,0.001,0.157,0.152,0.197,0.118,0.748,0.364,0.292,0.197,0.432,0.214,0
0.411,0.412,,0.0,0.0,0.017,0.0,0.043,0.002,0.029,0.032,0.042,0.014,0.84,0.199,0.465,0.042,0.708,0.253,0
0.379,0.438,,0.0,0.0,0.025,0.0,0.012,0.0,0.046,0.055,0.056,0.027,0.881,0.189,0.438,0.057,0.547,0.304,0
0.111,0.475,,0.0,0.0,0.013,0.0,0.015,0.0,0.041,0.053,0.046,0.024,0.903,0.165,0.455,0.049,0.53,0.353,0
0.091,0.196,,0.0,0.0,0.03,0.0,0.031,0.002,0.146,0.146,0.181,0.108,0.787,0.335,0.298,0.181,0.435,0.228,0
0.522,0.233,,0.0,0.0,0.048,0.001,0.047,0.001,0.189,0.183,0.238,0.143,0.731,0.409,0.235,0.238,0.429,0.214,0
0.557,0.371,,0.0,0.0,0.023,0.0,0.031,0.001,0.155,0.159,0.189,0.115,0.812,0.329,0.283,0.189,0.422,0.239,0
0.051,0.512,,0.0,0.0,0.013,0.0,0.009,0.0,0.037,0.049,0.041,0.02,0.909,0.161,0.455,0.046,0.587,0.358,0
0.269,0.2,,0.0,0.0,0.044,0.001,0.046,0.001,0.166,0.165,0.205,0.126,0.774,0.355,0.279,0.205,0.415,0.226,0
0.261,0.221,,0.0,0.0,0.072,0.002,0.053,0.002,0.157,0.16,0.191,0.116,0.81,0.335,0.275,0.191,0.427,0.238,0
0.273,0.25,,0.333,0.0,0.072,0.002,0.063,0.001,0.159,0.16,0.197,0.118,0.789,0.351,0.271,0.197,0.434,0.231,0
0.111,0.371,,0.0,0.0,0.076,0.001,0.06,0.003,0.144,0.152,0.169,0.108,0.847,0.288,0.313,0.169,0.394,0.256,0
0.585,0.338,,0.0,0.0,0.042,0.001,0.052,0.003,0.165,0.169,0.201,0.123,0.806,0.344,0.266,0.201,0.421,0.236,0
0.356,0.433,,0.333,0.0,0.059,0.001,0.087,0.002,0.139,0.15,0.16,0.106,0.866,0.265,0.332,0.16,0.375,0.269,0
0.423,0.496,,0.0,0.0,0.032,0.001,0.022,0.0,0.046,0.062,0.048,0.03,0.925,0.151,0.455,0.056,0.501,0.383,0
0.909,0.467,,0.0,0.0,0.023,0.0,0.009,0.0,0.041,0.052,0.046,0.024,0.899,0.166,0.457,0.049,0.532,0.345,0
0.439,0.429,,0.0,0.0,0.025,0.0,0.015,0.0,0.037,0.048,0.041,0.022,0.899,0.159,0.469,0.044,0.534,0.358,0
0.004,0.138,,0.0,0.0,0.074,0.002,0.053,0.001,0.131,0.126,0.167,0.096,0.763,0.338,0.319,0.167,0.458,0.217,0
0.154,0.258,,0.333,0.0,0.048,0.001,0.036,0.002,0.144,0.144,0.177,0.108,0.791,0.327,0.307,0.177,0.427,0.23,0
0.411,0.533,,0.0,0.0,0.01,0.0,0.019,0.0,0.043,0.055,0.048,0.025,0.907,0.167,0.448,0.05,0.533,0.349,0
0.281,0.446,,0.0,0.0,0.01,0.0,0.012,0.0,0.038,0.048,0.044,0.023,0.888,0.169,0.463,0.047,0.546,0.334,0
0.277,0.425,,0.0,0.0,0.025,0.0,0.016,0.0,0.038,0.052,0.042,0.021,0.916,0.159,0.452,0.047,0.58,0.368,0
0.095,0.438,,0.0,0.0,0.032,0.0,0.107,0.002,0.113,0.124,0.133,0.081,0.875,0.253,0.342,0.141,0.447,0.316,0
0.126,0.575,,0.0,0.0,0.019,0.0,0.016,0.0,0.038,0.03,0.057,0.025,0.767,0.234,0.482,0.057,0.578,0.178,0
0.387,0.4,,0.333,0.0,0.053,0.002,0.075,0.002,0.13,0.142,0.152,0.094,0.875,0.271,0.313,0.153,0.414,0.281,0
0.542,0.438,,0.0,0.0,0.021,0.0,0.01,0.0,0.045,0.055,0.054,0.026,0.888,0.187,0.435,0.055,0.559,0.311,0
0.308,0.192,,0.0,0.0,0.059,0.002,0.043,0.001,0.187,0.175,0.24,0.142,0.692,0.431,0.241,0.24,0.441,0.203,0
0.901,0.471,,0.0,0.0,0.03,0.0,0.02,0.0,0.041,0.052,0.047,0.024,0.896,0.171,0.454,0.05,0.546,0.337,0
0.569,0.375,,0.333,0.0,0.019,0.0,0.036,0.0,0.156,0.157,0.194,0.116,0.789,0.347,0.277,0.194,0.433,0.23,0
0.379,0.312,,0.333,0.0,0.051,0.001,0.08,0.002,0.166,0.17,0.2,0.125,0.81,0.335,0.275,0.2,0.406,0.241,0
0.13,0.525,,0.0,0.0,0.017,0.0,0.025,0.0,0.041,0.057,0.043,0.023,0.931,0.151,0.45,0.052,0.574,0.386,0
0.154,0.308,,0.333,0.0,0.038,0.001,0.056,0.0,0.147,0.152,0.18,0.108,0.817,0.322,0.288,0.18,0.429,0.242,0
0.534,0.246,,0.0,0.0,0.034,0.0,0.039,0.002,0.182,0.178,0.225,0.138,0.754,0.385,0.252,0.225,0.421,0.218,0
0.126,0.388,,0.333,0.0,0.053,0.001,0.068,0.004,0.141,0.147,0.165,0.108,0.836,0.281,0.336,0.165,0.38,0.25,0
0.269,0.262,,0.667,0.0,0.133,0.01,0.048,0.002,0.164,0.165,0.203,0.124,0.782,0.353,0.275,0.203,0.42,0.231,0
0.538,0.346,,0.667,0.0,0.057,0.001,0.082,0.002,0.148,0.151,0.181,0.11,0.806,0.326,0.294,0.181,0.428,0.238,0
0.087,0.546,,0.0,0.0,0.013,0.0,0.021,0.0,0.035,0.048,0.038,0.019,0.91,0.155,0.463,0.043,0.575,0.372,0
0.261,0.208,,0.0,0.0,0.036,0.001,0.019,0.0,0.166,0.165,0.203,0.125,0.78,0.352,0.279,0.203,0.416,0.226,0
0.771,0.492,,0.0,0.0,0.029,0.0,0.015,0.0,0.044,0.058,0.049,0.027,0.912,0.164,0.448,0.054,0.54,0.354,0
0.016,0.338,,0.0,0.0,0.046,0.0,0.048,0.001,0.13,0.137,0.158,0.095,0.838,0.293,0.315,0.158,0.429,0.251,0
0.696,0.5,,0.0,0.0,0.015,0.0,0.017,0.0,0.042,0.055,0.044,0.026,0.914,0.154,0.461,0.05,0.516,0.376,0
0.593,0.55,,0.0,0.0,0.013,0.0,0.011,0.0,0.04,0.055,0.043,0.021,0.929,0.156,0.442,0.05,0.601,0.377,0
0.391,0.471,,0.0,0.0,0.01,0.0,0.022,0.0,0.049,0.06,0.058,0.03,0.892,0.186,0.433,0.06,0.531,0.317,0
0.696,0.492,,0.0,0.0,0.015,0.0,0.025,0.0,0.045,0.058,0.049,0.027,0.914,0.165,0.444,0.054,0.542,0.358,0
0.344,0.433,,0.0,0.0,0.057,0.002,0.093,0.003,0.154,0.156,0.186,0.118,0.799,0.321,0.309,0.186,0.397,0.239,0
0.099,0.333,,0.333,0.0,0.068,0.002,0.057,0.002,0.138,0.144,0.163,0.104,0.836,0.285,0.33,0.163,0.394,0.25,0
0.498,0.458,,0.0,0.0,0.057,0.001,0.045,0.002,0.161,0.158,0.2,0.123,0.761,0.354,0.294,0.2,0.416,0.219,0
0.051,0.229,,0.0,0.0,0.053,0.001,0.034,0.001,0.13,0.135,0.159,0.094,0.828,0.301,0.311,0.159,0.438,0.248,0
0.854,0.462,,0.0,0.0,0.011,0.0,0.011,0.0,0.042,0.053,0.049,0.024,0.896,0.174,0.448,0.051,0.552,0.335,0
0.047,0.383,,0.0,0.0,0.048,0.001,0.051,0.002,0.113,0.129,0.127,0.082,0.91,0.226,0.349,0.129,0.399,0.306,0
0.083,0.204,,0.0,0.0,0.017,0.0,0.029,0.001,0.139,0.141,0.171,0.103,0.804,0.318,0.309,0.171,0.43,0.234,0
0.897,0.55,,0.0,0.0,0.017,0.0,0.015,0.0,0.037,0.049,0.041,0.021,0.903,0.161,0.461,0.045,0.556,0.357,0
0.549,0.475,,0.0,0.0,0.01,0.0,0.015,0.0,0.043,0.053,0.051,0.025,0.892,0.179,0.444,0.052,0.546,0.323,0
0.534,0.533,,0.0,0.0,0.023,0.0,0.017,0.0,0.037,0.048,0.043,0.021,0.896,0.167,0.459,0.046,0.567,0.342,0
0.032,0.338,,0.0,0.0,0.048,0.002,0.056,0.001,0.133,0.137,0.16,0.101,0.819,0.292,0.336,0.16,0.401,0.247,0
0.15,0.204,,0.333,0.0,0.053,0.001,0.055,0.001,0.158,0.156,0.199,0.116,0.769,0.366,0.268,0.199,0.447,0.224,0
0.067,0.558,,0.0,0.0,0.013,0.0,0.014,0.0,0.027,0.041,0.027,0.016,0.916,0.134,0.491,0.037,0.601,0.415,0
0.573,0.471,,0.0,0.0,0.017,0.0,0.009,0.0,0.042,0.054,0.049,0.023,0.905,0.173,0.44,0.051,0.563,0.339,0
0.47,0.404,,0.333,0.0,0.021,0.001,0.021,0.0,0.153,0.153,0.187,0.116,0.787,0.332,0.304,0.187,0.412,0.228,0
0.379,0.275,,0.0,0.5,0.042,0.002,0.099,0.005,0.176,0.176,0.214,0.134,0.78,0.359,0.268,0.214,0.408,0.229,0
0.348,0.4,,0.333,0.0,0.049,0.002,0.042,0.002,0.132,0.145,0.152,0.097,0.884,0.259,0.323,0.152,0.395,0.283,0
0.316,0.362,,0.333,0.0,0.042,0.0,0.042,0.002,0.146,0.153,0.172,0.111,0.84,0.291,0.317,0.172,0.389,0.254,0
0.348,0.325,,0.0,0.0,0.059,0.003,0.066,0.004,0.153,0.156,0.184,0.116,0.806,0.319,0.306,0.184,0.4,0.241,0
0.111,0.417,,0.0,0.0,0.013,0.0,0.014,0.0,0.038,0.05,0.042,0.021,0.909,0.161,0.455,0.046,0.564,0.36,0
0.419,0.492,,0.0,0.0,0.019,0.001,0.02,0.001,0.046,0.062,0.05,0.028,0.924,0.16,0.442,0.056,0.531,0.369,0
0.13,0.488,,0.0,0.0,0.015,0.0,0.015,0.0,0.04,0.054,0.043,0.021,0.924,0.16,0.442,0.049,0.597,0.37,0
0.573,0.471,,0.0,0.0,0.017,0.0,0.009,0.0,0.042,0.054,0.049,0.023,0.905,0.173,0.44,0.051,0.563,0.339,0
0.158,0.208,,0.0,0.0,0.07,0.002,0.035,0.001,0.152,0.148,0.191,0.113,0.763,0.355,0.29,0.191,0.437,0.219,0
0.312,0.35,,0.0,0.0,0.042,0.001,0.021,0.0,0.149,0.156,0.177,0.114,0.83,0.299,0.313,0.177,0.39,0.248,0
0.348,0.238,,0.0,0.0,0.139,0.003,0.053,0.001,0.123,0.129,0.152,0.087,0.832,0.3,0.309,0.152,0.462,0.248,0
0.573,0.254,,0.0,0.0,0.032,0.001,0.037,0.0,0.183,0.173,0.235,0.136,0.711,0.425,0.231,0.235,0.451,0.208,0
0.585,0.442,,0.667,0.0,0.029,0.0,0.022,0.0,0.148,0.154,0.175,0.114,0.828,0.294,0.323,0.175,0.383,0.247,0
0.269,0.338,,0.333,0.0,0.065,0.005,0.045,0.001,0.135,0.147,0.155,0.102,0.877,0.258,0.332,0.155,0.377,0.275,0
0.538,0.229,,0.0,0.0,0.089,0.003,0.066,0.003,0.198,0.185,0.253,0.152,0.679,0.444,0.233,0.253,0.431,0.201,0
0.474,0.425,,0.0,0.0,0.059,0.002,0.066,0.001,0.141,0.146,0.169,0.108,0.821,0.296,0.326,0.169,0.397,0.245,0
0.134,0.129,,0.333,0.0,0.036,0.0,0.031,0.0,0.158,0.146,0.206,0.117,0.703,0.402,0.275,0.206,0.463,0.202,0
0.146,0.421,,0.0,0.0,0.019,0.0,0.022,0.0,0.043,0.051,0.054,0.025,0.873,0.192,0.442,0.054,0.559,0.297,0
0.542,0.508,,0.0,0.0,0.023,0.0,0.026,0.0,0.045,0.057,0.052,0.026,0.901,0.178,0.436,0.054,0.558,0.33,0
0.332,0.246,,0.0,0.0,0.044,0.001,0.041,0.001,0.165,0.168,0.2,0.125,0.8,0.336,0.283,0.2,0.406,0.234,0
0.791,0.517,,0.0,0.0,0.019,0.0,0.02,0.0,0.038,0.052,0.043,0.021,0.914,0.161,0.45,0.049,0.599,0.361,0
0.229,0.417,,0.0,0.0,0.01,0.0,0.011,0.0,0.038,0.047,0.046,0.02,0.884,0.181,0.448,0.048,0.601,0.313,0
0.253,0.179,,0.0,0.0,0.061,0.002,0.061,0.003,0.171,0.166,0.216,0.129,0.743,0.385,0.264,0.216,0.432,0.215,0
0.296,0.221,,0.0,0.0,0.076,0.006,0.065,0.003,0.165,0.159,0.207,0.125,0.741,0.373,0.285,0.207,0.425,0.216,0
0.901,0.471,,0.0,0.0,0.03,0.0,0.02,0.0,0.041,0.052,0.047,0.024,0.896,0.171,0.454,0.05,0.546,0.337,0
0.605,0.488,,0.0,0.0,0.017,0.0,0.007,0.0,0.042,0.053,0.048,0.023,0.903,0.172,0.444,0.051,0.564,0.342,0
0.091,0.3,,0.0,0.0,0.095,0.005,0.081,0.002,0.131,0.139,0.154,0.097,0.853,0.274,0.33,0.155,0.4,0.266,0
0.051,0.412,,0.0,0.0,0.059,0.005,0.06,0.001,0.125,0.138,0.142,0.094,0.882,0.244,0.349,0.142,0.369,0.285,0
0.474,0.425,,0.0,0.0,0.059,0.002,0.066,0.001,0.141,0.146,0.169,0.108,0.821,0.296,0.326,0.169,0.397,0.245,0
0.04,0.404,,0.0,0.0,0.046,0.001,0.031,0.001,0.123,0.139,0.14,0.09,0.901,0.241,0.334,0.14,0.389,0.292,0
0.569,0.379,,0.0,0.0,0.03,0.001,0.058,0.001,0.161,0.161,0.197,0.122,0.785,0.345,0.285,0.197,0.418,0.228,0
0.292,0.4,,0.333,0.0,0.04,0.0,0.04,0.001,0.116,0.137,0.129,0.083,0.938,0.219,0.332,0.131,0.399,0.321,0
0.372,0.5,,0.0,0.0,0.019,0.0,0.03,0.001,0.037,0.05,0.041,0.021,0.912,0.156,0.459,0.048,0.593,0.368,0
0.719,0.417,,0.0,0.0,0.023,0.0,0.024,0.0,0.04,0.05,0.046,0.023,0.894,0.173,0.452,0.049,0.566,0.332,0
0.545,0.312,,0.333,0.0,0.049,0.001,0.027,0.001,0.185,0.177,0.232,0.142,0.72,0.402,0.258,0.232,0.421,0.208,0
0.585,0.275,,0.0,0.0,0.072,0.004,0.055,0.004,0.171,0.171,0.209,0.129,0.782,0.356,0.269,0.209,0.416,0.227,0
0.379,0.267,,0.0,0.5,0.068,0.002,0.084,0.006,0.173,0.175,0.21,0.133,0.791,0.348,0.273,0.21,0.402,0.234,0
0.771,0.492,,0.0,0.0,0.029,0.0,0.015,0.0,0.044,0.058,0.049,0.027,0.912,0.164,0.448,0.054,0.54,0.354,0
0.273,0.204,,0.0,0.0,0.032,0.001,0.048,0.001,0.166,0.164,0.205,0.125,0.767,0.361,0.277,0.205,0.421,0.223,0
0.625,0.417,,0.0,0.0,0.015,0.0,0.014,0.0,0.041,0.056,0.046,0.023,0.922,0.162,0.44,0.051,0.581,0.365,0
