0,1,2,3,4,5,6,7,8,9,label
0.189,0.097,0.442,0.176,0.131,0.47,0.7,0.515,0.11,0.45,0
0.123,0.072,0.224,0.308,0.247,0.433,0.516,0.498,0.097,0.359,0
0.289,0.053,0.146,0.422,0.295,0.49,0.744,0.554,0.829,0.114,0
0.05,0.028,0.054,0.785,0.527,0.442,0.598,0.518,0.946,0.475,0
0.279,0.122,0.419,0.233,0.203,0.41,0.689,0.587,0.109,0.619,0
0.079,0.058,0.151,0.526,0.358,0.412,0.547,0.521,0.01,0.148,0
0.051,0.027,0.059,0.814,0.583,0.421,0.561,0.55,0.452,0.294,0
0.137,0.11,0.391,0.186,0.131,0.486,0.628,0.593,0.007,0.302,0
0.069,0.038,0.108,0.507,0.354,0.431,0.611,0.538,0.041,0.397,0
0.077,0.077,0.235,0.408,0.354,0.453,0.624,0.573,0.177,0.447,0
0.057,0.052,0.082,0.493,0.344,0.418,0.564,0.548,0.371,0.424,0
0.187,0.101,0.372,0.155,0.111,0.484,0.671,0.501,0.128,0.322,0
0.093,0.062,0.333,0.323,0.243,0.431,0.602,0.514,0.196,0.405,0
0.059,0.045,0.155,0.7,0.605,0.428,0.549,0.508,0.484,0.391,0
0.049,0.061,0.148,0.453,0.318,0.446,0.564,0.524,0.153,0.11,0
0.168,0.066,0.254,0.322,0.28,0.493,0.678,0.497,0.057,0.438,0
0.056,0.04,0.061,0.622,0.467,0.466,0.615,0.506,0.16,0.506,0
0.269,0.086,0.339,0.338,0.287,0.461,0.667,0.571,0.039,0.724,0
0.249,0.144,0.55,0.156,0.119,0.42,0.689,0.602,0.029,0.618,0
0.106,0.047,0.247,0.35,0.239,0.461,0.606,0.551,0.042,0.404,0
0.112,0.082,0.353,0.304,0.24,0.466,0.658,0.567,0.085,0.441,0
0.259,0.131,0.576,0.154,0.119,0.465,0.755,0.57,0.041,0.318,0
0.063,0.069,0.195,0.477,0.363,0.427,0.537,0.572,0.91,0.241,0
0.046,0.057,0.104,0.569,0.418,0.437,0.612,0.521,0.146,0.262,0
0.053,0.027,0.071,0.788,0.523,0.468,0.582,0.551,0.394,0.191,0
0.253,0.13,0.585,0.127,0.098,0.539,0.714,0.496,0.027,0.514,0
0.15,0.06,0.144,0.505,0.437,0.399,0.511,0.509,0.021,0.064,0
0.093,0.077,0.267,0.411,0.375,0.472,0.633,0.566,0.093,0.457,0
0.112,0.063,0.233,0.387,0.268,0.489,0.648,0.576,0.196,0.429,0
0.169,0.048,0.255,0.281,0.212,0.447,0.679,0.556,0.015,0.463,0
0.199,0.118,0.36,0.187,0.137,0.379,0.667,0.469,0.033,0.594,0
0.213,0.09,0.31,0.347,0.241,0.408,0.693,0.502,0.045,0.733,0
0.223,0.124,0.521,0.219,0.182,0.441,0.684,0.497,0.003,0.661,0
0.106,0.103,0.253,0.377,0.297,0.406,0.627,0.578,0.072,0.603,0
0.042,0.041,0.098,0.672,0.487,0.445,0.569,0.517,0.482,0.295,0
0.064,0.047,0.137,0.455,0.341,0.45,0.61,0.55,0.276,0.389,0
0.058,0.064,0.183,0.501,0.393,0.435,0.554,0.561,0.931,0.473,0
0.084,0.061,0.167,0.42,0.301,0.441,0.551,0.504,0.135,0.389,0
0.043,0.046,0.138,0.635,0.6,0.443,0.57,0.563,0.769,0.441,0
0.113,0.1,0.325,0.217,0.151,0.481,0.635,0.473,0.007,0.182,0
0.268,0.044,0.315,0.34,0.284,0.377,0.496,0.551,0.028,0.59,0
0.076,0.063,0.18,0.357,0.244,0.393,0.624,0.554,0.435,0.337,0
0.132,0.072,0.238,0.3,0.237,0.471,0.531,0.513,0.053,0.321,0
0.209,0.076,0.181,0.391,0.287,0.401,0.643,0.577,0.257,0.569,0
0.066,0.049,0.139,0.485,0.348,0.459,0.608,0.548,0.046,0.369,0
0.273,0.069,0.246,0.323,0.238,0.349,0.671,0.495,0.021,0.609,0
0.103,0.059,0.133,0.427,0.315,0.422,0.53,0.568,0.153,0.31,0
0.089,0.068,0.189,0.437,0.316,0.396,0.569,0.547,0.285,0.335,0
0.141,0.078,0.43,0.231,0.183,0.481,0.655,0.558,0.041,0.38,0
0.063,0.05,0.177,0.54,0.456,0.431,0.566,0.566,0.725,0.145,0
0.069,0.069,0.267,0.415,0.349,0.442,0.568,0.493,0.265,0.218,0
0.072,0.027,0.091,0.656,0.47,0.436,0.551,0.526,0.306,0.294,0
0.096,0.048,0.186,0.432,0.317,0.46,0.618,0.517,0.257,0.285,0
0.076,0.057,0.208,0.485,0.329,0.449,0.548,0.563,0.268,0.138,0
0.047,0.0,0.076,0.889,0.846,0.443,0.591,0.534,0.387,0.366,0
0.059,0.035,0.111,0.745,0.673,0.466,0.607,0.515,0.3,0.258,0
0.07,0.072,0.273,0.335,0.274,0.446,0.593,0.508,0.262,0.379,0
0.344,0.13,0.37,0.168,0.119,0.539,0.81,0.487,0.029,0.38,0
0.069,0.075,0.244,0.348,0.245,0.431,0.59,0.555,0.456,0.306,0
0.027,0.042,0.084,0.867,0.623,0.429,0.585,0.503,0.6,0.365,0
0.063,0.05,0.152,0.51,0.349,0.42,0.601,0.554,0.531,0.3,0
0.042,0.062,0.151,0.566,0.436,0.462,0.614,0.548,0.029,0.097,0
0.201,0.077,0.344,0.274,0.197,0.349,0.674,0.501,0.005,0.581,0
0.295,0.154,0.593,0.151,0.114,0.29,0.705,0.591,0.045,0.659,0
0.163,0.092,0.279,0.189,0.136,0.396,0.523,0.564,0.224,0.188,0
0.05,0.068,0.192,0.518,0.362,0.455,0.612,0.503,0.286,0.183,0
0.158,0.065,0.282,0.223,0.163,0.513,0.652,0.562,0.017,0.505,0
0.2,0.096,0.429,0.132,0.096,0.524,0.668,0.502,0.033,0.47,0
0.233,0.126,0.528,0.178,0.132,0.478,0.699,0.567,0.046,0.595,0
0.086,0.067,0.189,0.448,0.317,0.488,0.605,0.574,0.449,0.199,0
0.115,0.079,0.399,0.273,0.199,0.439,0.628,0.505,0.008,0.367,0
0.231,0.058,0.267,0.327,0.234,0.478,0.715,0.506,0.056,0.549,0
0.065,0.074,0.103,0.799,0.625,0.459,0.626,0.495,0.826,0.638,0
0.038,0.044,0.139,0.637,0.491,0.442,0.592,0.549,0.206,0.382,0
0.044,0.069,0.189,0.518,0.382,0.429,0.552,0.496,0.19,0.23,0
0.091,0.083,0.312,0.315,0.23,0.439,0.562,0.565,0.129,0.329,0
0.078,0.085,0.294,0.333,0.275,0.466,0.613,0.486,0.31,0.304,0
0.112,0.127,0.252,0.385,0.279,0.423,0.632,0.607,0.107,0.621,0
0.063,0.053,0.128,0.552,0.435,0.431,0.559,0.563,0.741,0.157,0
0.053,0.041,0.111,0.622,0.433,0.449,0.551,0.56,0.017,0.467,0
0.049,0.05,0.141,0.522,0.392,0.455,0.604,0.513,0.295,0.402,0
0.063,0.042,0.127,0.552,0.445,0.453,0.619,0.544,0.462,0.296,0
0.095,0.052,0.126,0.577,0.487,0.412,0.537,0.552,0.014,0.406,0
0.177,0.088,0.387,0.221,0.16,0.346,0.537,0.577,0.035,0.462,0
0.047,0.029,0.058,0.853,0.608,0.44,0.6,0.521,0.275,0.348,0
0.134,0.071,0.311,0.252,0.174,0.462,0.664,0.506,0.077,0.408,0
0.055,0.0,0.066,0.883,0.595,0.448,0.555,0.534,0.893,0.424,0
0.042,0.041,0.092,0.671,0.467,0.465,0.6,0.548,0.176,0.32,0
0.073,0.051,0.159,0.658,0.653,0.471,0.617,0.561,0.152,0.274,0
0.131,0.052,0.257,0.299,0.221,0.483,0.641,0.555,0.029,0.358,0
0.088,0.069,0.241,0.417,0.407,0.459,0.631,0.512,0.097,0.396,0
0.283,0.105,0.471,0.157,0.114,0.472,0.749,0.565,0.036,0.516,0
0.027,0.039,0.076,0.894,0.776,0.455,0.595,0.56,0.654,0.334,0
0.147,0.084,0.297,0.402,0.304,0.392,0.631,0.48,0.068,0.624,0
0.11,0.08,0.287,0.247,0.18,0.438,0.61,0.507,0.009,0.469,0
0.186,0.131,0.565,0.148,0.108,0.362,0.658,0.472,0.008,0.496,0
0.18,0.102,0.465,0.208,0.161,0.486,0.664,0.581,0.021,0.573,0
0.055,0.038,0.079,0.62,0.427,0.439,0.611,0.561,0.102,0.476,0
0.168,0.058,0.278,0.341,0.248,0.336,0.677,0.565,0.058,0.583,0
0.069,0.038,0.143,0.576,0.466,0.431,0.556,0.503,0.332,0.454,0
0.053,0.05,0.123,0.706,0.551,0.451,0.609,0.51,0.249,0.24,0
0.05,0.027,0.101,0.865,0.673,0.463,0.608,0.549,0.031,0.353,0
0.265,0.156,0.637,0.077,0.06,0.341,0.729,0.619,0.033,0.517,0
0.171,0.073,0.199,0.276,0.204,0.484,0.641,0.565,0.046,0.294,0
0.095,0.059,0.307,0.436,0.326,0.458,0.607,0.544,0.023,0.454,0
0.083,0.094,0.23,0.258,0.187,0.42,0.587,0.504,0.255,0.316,0
0.248,0.117,0.335,0.341,0.257,0.401,0.547,0.497,0.053,0.677,0
0.048,0.049,0.137,0.586,0.435,0.457,0.608,0.554,0.405,0.266,0
0.168,0.12,0.455,0.2,0.164,0.469,0.678,0.458,0.012,0.533,0
0.208,0.075,0.315,0.298,0.227,0.397,0.656,0.507,0.045,0.586,0
0.05,0.028,0.09,0.788,0.536,0.445,0.567,0.549,0.983,0.381,0
0.059,0.039,0.144,0.624,0.471,0.45,0.612,0.514,0.115,0.436,0
0.061,0.068,0.199,0.544,0.457,0.46,0.617,0.497,0.01,0.517,0
0.098,0.06,0.159,0.468,0.322,0.388,0.633,0.521,0.141,0.219,0
0.045,0.05,0.168,0.704,0.631,0.451,0.612,0.555,0.654,0.35,0
0.059,0.05,0.175,0.563,0.47,0.424,0.556,0.555,0.069,0.263,0
0.237,0.07,0.236,0.398,0.365,0.389,0.472,0.487,0.112,0.58,0
0.208,0.056,0.341,0.334,0.238,0.39,0.685,0.518,0.007,0.577,0
0.049,0.028,0.07,0.808,0.556,0.445,0.565,0.519,0.101,0.319,0
0.059,0.078,0.172,0.61,0.554,0.442,0.555,0.504,0.531,0.172,0
0.23,0.117,0.512,0.164,0.133,0.463,0.625,0.469,0.046,0.459,0
0.05,0.028,0.041,0.806,0.547,0.42,0.563,0.518,0.32,0.356,0
0.1,0.066,0.25,0.435,0.31,0.448,0.637,0.504,0.019,0.371,0
0.063,0.065,0.099,0.504,0.342,0.453,0.614,0.497,0.047,0.339,0
0.115,0.063,0.164,0.34,0.252,0.406,0.543,0.571,0.144,0.444,0
0.061,0.058,0.174,0.434,0.295,0.459,0.607,0.5,0.114,0.252,0
0.041,0.059,0.108,0.713,0.565,0.445,0.602,0.574,0.497,0.454,0
0.053,0.067,0.178,0.463,0.332,0.451,0.599,0.571,0.118,0.375,0
0.171,0.107,0.28,0.251,0.178,0.529,0.548,0.568,0.057,0.478,0
0.225,0.133,0.542,0.11,0.084,0.523,0.698,0.575,0.036,0.325,0
0.242,0.13,0.578,0.125,0.094,0.485,0.711,0.576,0.042,0.524,0
0.222,0.074,0.392,0.279,0.212,0.488,0.747,0.566,0.021,0.429,0
0.049,0.06,0.16,0.531,0.382,0.464,0.608,0.559,0.499,0.418,0
0.089,0.056,0.252,0.412,0.31,0.481,0.636,0.516,0.36,0.283,0
0.193,0.108,0.337,0.296,0.233,0.429,0.66,0.466,0.044,0.633,0
0.057,0.05,0.082,0.636,0.441,0.461,0.599,0.513,0.912,0.389,0
0.115,0.054,0.238,0.365,0.291,0.474,0.616,0.554,0.019,0.46,0
0.096,0.052,0.13,0.474,0.343,0.479,0.552,0.556,0.293,0.296,0
0.212,0.146,0.384,0.158,0.118,0.501,0.728,0.477,0.351,0.426,0
0.294,0.16,0.663,0.075,0.062,0.519,0.741,0.462,0.069,0.534,0
0.118,0.068,0.254,0.296,0.212,0.487,0.653,0.522,0.085,0.31,0
0.174,0.07,0.284,0.299,0.214,0.489,0.65,0.569,0.033,0.471,0
0.057,0.072,0.238,0.456,0.325,0.465,0.622,0.564,0.032,0.102,0
0.064,0.074,0.2,0.403,0.276,0.456,0.602,0.514,0.907,0.461,0
0.224,0.09,0.383,0.213,0.179,0.499,0.733,0.576,0.14,0.438,0
0.083,0.029,0.116,0.678,0.568,0.475,0.619,0.515,0.114,0.381,0
0.16,0.078,0.312,0.209,0.148,0.454,0.66,0.571,0.136,0.497,0
0.067,0.063,0.21,0.375,0.265,0.414,0.555,0.501,0.309,0.39,0
0.126,0.061,0.138,0.44,0.305,0.397,0.621,0.51,0.019,0.457,0
0.106,0.055,0.27,0.447,0.341,0.479,0.638,0.547,0.102,0.454,0
0.145,0.048,0.208,0.499,0.463,0.419,0.51,0.551,0.057,0.373,0
0.057,0.0,0.056,0.857,0.574,0.468,0.608,0.534,0.684,0.296,0
0.047,0.048,0.126,0.601,0.442,0.447,0.562,0.506,0.204,0.367,0
0.086,0.077,0.27,0.318,0.261,0.468,0.619,0.573,0.303,0.274,0
0.057,0.082,0.256,0.397,0.297,0.47,0.616,0.577,0.307,0.157,0
0.099,0.097,0.339,0.196,0.144,0.441,0.559,0.555,0.022,0.271,0
0.075,0.049,0.178,0.583,0.4,0.434,0.62,0.56,0.021,0.435,0
0.292,0.065,0.296,0.363,0.312,0.336,0.713,0.496,0.003,0.464,0
0.128,0.112,0.43,0.197,0.147,0.46,0.663,0.56,0.141,0.215,0
0.088,0.056,0.22,0.404,0.3,0.445,0.565,0.555,0.058,0.434,0
0.077,0.043,0.106,0.538,0.427,0.47,0.625,0.556,0.004,0.422,0
0.249,0.158,0.642,0.089,0.067,0.478,0.713,0.599,0.054,0.441,0
0.183,0.112,0.229,0.347,0.248,0.545,0.486,0.516,0.114,0.526,0
0.182,0.093,0.351,0.207,0.15,0.507,0.654,0.505,0.011,0.452,0
0.05,0.028,0.024,0.782,0.54,0.442,0.596,0.518,0.632,0.277,0
0.196,0.068,0.249,0.329,0.267,0.315,0.701,0.511,0.002,0.501,0
0.083,0.084,0.272,0.368,0.288,0.45,0.622,0.568,0.556,0.076,0
0.261,0.057,0.263,0.386,0.273,0.317,0.647,0.553,0.036,0.612,0
0.051,0.05,0.114,0.472,0.317,0.46,0.592,0.511,0.532,0.44,0
0.027,0.043,0.082,0.85,0.667,0.43,0.591,0.561,0.824,0.353,0
0.229,0.125,0.36,0.269,0.224,0.495,0.736,0.576,0.197,0.344,0
0.123,0.1,0.322,0.239,0.208,0.424,0.56,0.486,0.513,0.029,0
0.068,0.055,0.162,0.462,0.402,0.471,0.618,0.512,0.328,0.271,0
0.201,0.09,0.319,0.276,0.221,0.485,0.702,0.505,0.38,0.436,0
0.099,0.094,0.308,0.237,0.177,0.454,0.597,0.562,0.516,0.187,0
0.037,0.045,0.12,0.671,0.463,0.442,0.59,0.544,0.775,0.451,0
0.203,0.07,0.297,0.276,0.221,0.509,0.707,0.509,0.085,0.449,0
0.126,0.044,0.185,0.421,0.324,0.485,0.548,0.541,0.052,0.387,0
0.088,0.117,0.248,0.323,0.227,0.43,0.527,0.468,0.329,0.056,0
0.118,0.069,0.292,0.38,0.327,0.479,0.637,0.501,0.23,0.281,0
0.158,0.082,0.37,0.232,0.163,0.476,0.646,0.556,0.006,0.444,0
0.291,0.11,0.424,0.233,0.195,0.403,0.523,0.498,0.049,0.603,0
0.091,0.038,0.164,0.541,0.376,0.414,0.623,0.552,0.307,0.366,0
0.054,0.044,0.187,0.619,0.488,0.437,0.549,0.516,0.074,0.296,0
0.1,0.075,0.19,0.364,0.268,0.416,0.544,0.507,0.02,0.494,0
0.268,0.131,0.475,0.179,0.168,0.388,0.692,0.5,0.076,0.55,0
0.085,0.051,0.21,0.425,0.311,0.43,0.538,0.552,0.18,0.337,0
0.139,0.07,0.325,0.277,0.197,0.485,0.617,0.505,0.032,0.406,0
0.18,0.094,0.345,0.293,0.2,0.498,0.684,0.555,0.039,0.49,0
0.196,0.1,0.352,0.224,0.166,0.369,0.674,0.59,0.004,0.509,0
0.232,0.184,0.472,0.13,0.104,0.395,0.737,0.468,0.342,0.565,0
0.138,0.086,0.365,0.328,0.273,0.461,0.537,0.557,0.061,0.396,0
0.056,0.05,0.087,0.619,0.46,0.43,0.561,0.513,0.373,0.331,0
0.14,0.101,0.33,0.265,0.194,0.454,0.645,0.584,0.094,0.544,0
0.055,0.062,0.193,0.55,0.466,0.445,0.545,0.522,0.598,0.279,0
0.101,0.059,0.27,0.531,0.446,0.467,0.649,0.55,0.087,0.37,0
0.051,0.036,0.105,0.777,0.669,0.461,0.617,0.504,0.838,0.335,0
0.201,0.073,0.251,0.342,0.298,0.357,0.659,0.487,0.05,0.506,0
0.067,0.073,0.198,0.445,0.364,0.456,0.598,0.549,0.074,0.341,0
0.046,0.048,0.152,0.578,0.474,0.442,0.599,0.507,0.597,0.406,0
0.045,0.05,0.148,0.618,0.469,0.459,0.602,0.513,0.35,0.329,0
0.089,0.059,0.158,0.538,0.459,0.476,0.63,0.54,0.077,0.402,0
0.136,0.057,0.239,0.342,0.235,0.463,0.649,0.505,0.022,0.356,0
0.335,0.089,0.216,0.406,0.374,0.394,0.354,0.597,0.466,0.256,0
0.061,0.06,0.213,0.435,0.294,0.453,0.604,0.556,0.3,0.332,0
0.039,0.028,0.101,0.93,0.819,0.447,0.59,0.547,0.22,0.437,0
0.249,0.064,0.276,0.329,0.231,0.491,0.709,0.545,0.017,0.494,0
0.026,0.038,0.092,0.883,0.842,0.454,0.597,0.52,0.445,0.293,0
0.097,0.101,0.348,0.227,0.18,0.457,0.617,0.572,0.371,0.285,0
0.051,0.066,0.183,0.489,0.393,0.472,0.562,0.571,0.395,0.246,0
0.027,0.043,0.064,0.856,0.614,0.457,0.575,0.564,0.979,0.197,0
0.149,0.101,0.483,0.207,0.146,0.481,0.684,0.573,0.084,0.344,0
0.075,0.07,0.205,0.346,0.245,0.454,0.629,0.506,0.411,0.383,0
0.213,0.052,0.305,0.305,0.212,0.461,0.716,0.509,0.065,0.577,0
0.076,0.066,0.151,0.398,0.3,0.429,0.555,0.555,0.501,0.286,0
0.111,0.102,0.376,0.205,0.149,0.472,0.539,0.557,0.093,0.34,0
0.09,0.069,0.303,0.329,0.254,0.457,0.627,0.554,0.077,0.181,0
0.247,0.078,0.418,0.294,0.296,0.401,0.69,0.483,0.008,0.641,0
0.052,0.041,0.085,0.62,0.457,0.439,0.611,0.512,0.165,0.416,0
0.096,0.057,0.172,0.337,0.238,0.437,0.551,0.566,0.033,0.263,0
0.104,0.075,0.324,0.32,0.224,0.441,0.63,0.513,0.087,0.314,0
0.084,0.052,0.222,0.445,0.351,0.483,0.612,0.551,0.158,0.397,0
0.078,0.092,0.237,0.328,0.25,0.464,0.606,0.496,0.434,0.287,0
0.062,0.075,0.244,0.348,0.244,0.467,0.558,0.504,0.347,0.137,0
0.027,0.041,0.09,0.874,0.709,0.43,0.574,0.561,0.304,0.453,0
0.059,0.0,0.11,0.816,0.549,0.446,0.559,0.534,0.0,0.246,0
0.097,0.037,0.131,0.427,0.29,0.422,0.539,0.52,0.305,0.106,0
0.082,0.07,0.275,0.308,0.255,0.444,0.608,0.567,0.019,0.368,0
0.23,0.124,0.528,0.111,0.082,0.472,0.71,0.501,0.006,0.577,0
0.125,0.066,0.291,0.298,0.208,0.476,0.624,0.507,0.038,0.431,0
0.049,0.05,0.122,0.565,0.397,0.453,0.607,0.556,0.019,0.413,0
0.256,0.092,0.427,0.197,0.145,0.483,0.743,0.562,0.008,0.563,0
0.059,0.062,0.206,0.471,0.372,0.427,0.552,0.503,0.229,0.237,0
0.077,0.076,0.181,0.441,0.33,0.422,0.545,0.499,0.136,0.468,0
0.085,0.044,0.232,0.531,0.445,0.458,0.635,0.506,0.077,0.186,0
0.266,0.114,0.421,0.239,0.209,0.397,0.658,0.591,0.046,0.588,0
0.134,0.075,0.255,0.324,0.245,0.479,0.617,0.572,0.125,0.432,0
0.025,0.046,0.024,0.793,0.568,0.458,0.567,0.56,0.884,0.33,0
0.057,0.076,0.232,0.42,0.336,0.455,0.618,0.515,0.276,0.339,0
0.118,0.08,0.301,0.282,0.227,0.48,0.624,0.549,0.027,0.339,0
0.091,0.064,0.257,0.354,0.275,0.441,0.531,0.502,0.536,0.06,0
0.139,0.108,0.453,0.196,0.142,0.457,0.676,0.506,0.19,0.187,0
0.12,0.079,0.352,0.223,0.161,0.417,0.546,0.571,0.076,0.381,0
0.062,0.048,0.193,0.496,0.34,0.427,0.553,0.549,0.089,0.383,0
0.111,0.072,0.25,0.268,0.189,0.452,0.544,0.511,0.041,0.378,0
0.088,0.045,0.203,0.477,0.43,0.468,0.631,0.558,0.072,0.366,0
0.095,0.06,0.252,0.392,0.267,0.433,0.621,0.552,0.152,0.333,0
0.042,0.041,0.1,0.685,0.51,0.464,0.602,0.521,0.509,0.291,0
0.058,0.079,0.216,0.36,0.26,0.424,0.551,0.553,0.324,0.372,0
0.083,0.048,0.121,0.432,0.307,0.428,0.571,0.506,0.109,0.46,0
0.047,0.046,0.159,0.669,0.57,0.439,0.606,0.52,0.472,0.209,0
0.208,0.091,0.414,0.166,0.12,0.488,0.686,0.565,0.083,0.415,0
0.042,0.047,0.149,0.652,0.591,0.446,0.564,0.504,0.233,0.262,0
0.047,0.038,0.108,0.643,0.48,0.42,0.565,0.542,0.279,0.35,0
0.267,0.122,0.341,0.179,0.147,0.537,0.485,0.488,0.023,0.497,0
0.045,0.029,0.059,0.871,0.679,0.44,0.597,0.525,0.845,0.333,0
0.104,0.112,0.321,0.255,0.224,0.458,0.602,0.487,0.026,0.239,0
0.319,0.028,0.139,0.747,0.588,0.394,0.422,0.549,0.007,0.748,0
0.081,0.04,0.172,0.604,0.443,0.407,0.554,0.513,0.092,0.381,0
0.101,0.1,0.491,0.264,0.197,0.462,0.631,0.502,0.224,0.142,0
0.195,0.097,0.364,0.196,0.147,0.462,0.717,0.594,0.038,0.359,0
0.056,0.069,0.103,0.523,0.361,0.419,0.561,0.503,0.413,0.348,0
0.208,0.041,0.215,0.433,0.315,0.463,0.718,0.546,0.104,0.473,0
0.212,0.081,0.235,0.303,0.211,0.413,0.676,0.584,0.053,0.605,0
0.164,0.068,0.294,0.285,0.206,0.523,0.657,0.577,0.035,0.534,0
0.175,0.089,0.433,0.19,0.14,0.429,0.658,0.565,0.038,0.447,0
0.044,0.039,0.137,0.686,0.53,0.464,0.603,0.522,0.565,0.392,0
0.06,0.071,0.25,0.427,0.338,0.446,0.559,0.543,0.991,0.161,0
0.246,0.122,0.399,0.139,0.11,0.381,0.67,0.49,0.025,0.6,0
0.152,0.068,0.201,0.517,0.433,0.43,0.472,0.492,0.019,0.426,0
0.047,0.062,0.219,0.609,0.485,0.425,0.554,0.563,0.932,0.1,0
0.05,0.028,0.059,0.806,0.54,0.445,0.564,0.519,0.285,0.174,0
