0,1,2,3,4,5,6,7,label
1.0,0.277,0.261,0.075,0.037,0.026,0.038,0.028,0
0.0,0.561,0.571,0.124,0.194,0.148,0.167,0.148,2
0.0,0.399,0.378,0.093,0.082,0.06,0.076,0.073,1
0.5,0.446,0.42,0.084,0.123,0.097,0.117,0.098,1
0.5,0.628,0.639,0.155,0.315,0.216,0.228,0.332,2
0.0,0.399,0.378,0.088,0.089,0.071,0.078,0.072,0
0.0,0.385,0.361,0.088,0.076,0.059,0.065,0.07,0
0.5,0.534,0.513,0.115,0.166,0.122,0.149,0.148,1
1.0,0.169,0.151,0.053,0.012,0.008,0.012,0.009,0
1.0,0.122,0.109,0.027,0.007,0.004,0.006,0.003,0
0.0,0.77,0.773,0.212,0.545,0.316,0.485,0.532,2
0.0,0.642,0.597,0.111,0.269,0.168,0.215,0.193,2
0.0,0.669,0.639,0.128,0.32,0.263,0.309,0.273,1
0.5,0.75,0.723,0.168,0.44,0.311,0.402,0.387,2
0.0,0.655,0.647,0.124,0.343,0.297,0.269,0.263,2
0.0,0.703,0.672,0.173,0.471,0.308,0.425,0.342,2
0.5,0.736,0.697,0.177,0.433,0.256,0.355,0.432,2
0.0,0.75,0.723,0.155,0.46,0.291,0.387,0.457,2
1.0,0.507,0.504,0.097,0.162,0.13,0.088,0.138,0
0.5,0.757,0.807,0.168,0.439,0.387,0.325,0.387,2
0.0,0.507,0.496,0.088,0.129,0.098,0.133,0.118,1
0.5,0.682,0.672,0.137,0.296,0.211,0.182,0.317,2
1.0,0.345,0.336,0.084,0.06,0.044,0.033,0.058,0
1.0,0.257,0.261,0.053,0.033,0.028,0.028,0.028,0
1.0,0.155,0.151,0.035,0.013,0.01,0.008,0.013,0
0.0,0.419,0.429,0.088,0.1,0.071,0.098,0.098,2
1.0,0.257,0.252,0.062,0.037,0.026,0.053,0.033,0
0.0,0.351,0.353,0.093,0.078,0.062,0.073,0.073,0
1.0,0.378,0.37,0.08,0.088,0.065,0.069,0.078,0
1.0,0.331,0.336,0.088,0.061,0.048,0.054,0.063,0
0.0,0.588,0.58,0.115,0.227,0.181,0.219,0.203,2
0.0,0.385,0.403,0.093,0.085,0.057,0.069,0.093,0
1.0,0.385,0.378,0.08,0.079,0.059,0.052,0.088,0
0.0,0.574,0.546,0.137,0.21,0.143,0.211,0.198,2
0.5,0.439,0.454,0.106,0.112,0.089,0.074,0.093,0
1.0,0.304,0.277,0.071,0.042,0.031,0.055,0.033,0
1.0,0.216,0.202,0.035,0.024,0.022,0.019,0.018,0
0.5,0.899,0.916,0.173,0.698,0.401,0.537,0.706,2
0.0,0.736,0.689,0.168,0.474,0.383,0.417,0.352,2
0.0,0.709,0.706,0.168,0.384,0.27,0.349,0.322,2
0.0,0.696,0.664,0.164,0.454,0.317,0.363,0.422,2
0.0,0.736,0.706,0.164,0.469,0.406,0.427,0.327,2
0.5,0.662,0.664,0.173,0.355,0.272,0.329,0.283,2
0.0,0.676,0.672,0.128,0.412,0.39,0.299,0.297,2
0.5,0.736,0.765,0.181,0.477,0.32,0.337,0.477,2
0.0,0.736,0.689,0.164,0.451,0.389,0.403,0.317,2
0.5,0.581,0.538,0.159,0.2,0.156,0.196,0.168,2
0.5,0.52,0.622,0.137,0.264,0.201,0.199,0.238,0
0.0,0.561,0.563,0.124,0.25,0.187,0.287,0.178,2
0.5,0.608,0.613,0.142,0.267,0.184,0.227,0.273,1
1.0,0.358,0.345,0.071,0.07,0.053,0.072,0.053,0
1.0,0.405,0.42,0.102,0.095,0.061,0.097,0.088,0
0.0,0.723,0.714,0.133,0.424,0.376,0.323,0.278,2
0.5,0.723,0.739,0.164,0.408,0.36,0.382,0.243,0
0.5,0.689,0.664,0.15,0.307,0.223,0.215,0.268,2
0.0,0.669,0.681,0.124,0.337,0.3,0.271,0.243,2
0.0,0.682,0.672,0.15,0.329,0.274,0.34,0.218,1
0.0,0.757,0.773,0.15,0.451,0.342,0.376,0.337,2
0.0,0.845,0.882,0.181,0.754,0.498,0.645,0.576,2
0.0,0.811,0.79,0.164,0.561,0.466,0.442,0.392,2
0.5,0.77,0.79,0.168,0.64,0.472,0.511,0.392,2
0.0,0.905,0.891,0.19,0.884,0.622,0.621,0.696,2
0.5,0.824,0.824,0.159,0.625,0.503,0.515,0.482,2
0.0,0.716,0.731,0.159,0.434,0.322,0.377,0.347,2
0.5,0.696,0.689,0.133,0.352,0.263,0.323,0.337,2
0.5,0.777,0.79,0.155,0.503,0.41,0.394,0.442,2
0.5,0.709,0.714,0.133,0.364,0.274,0.355,0.292,2
0.5,0.736,0.748,0.155,0.419,0.335,0.396,0.347,2
0.0,0.75,0.773,0.142,0.359,0.283,0.321,0.352,2
0.0,0.682,0.689,0.128,0.313,0.296,0.217,0.263,2
0.5,0.682,0.672,0.106,0.379,0.321,0.359,0.263,1
0.0,0.75,0.731,0.159,0.4,0.307,0.363,0.312,2
0.5,0.831,0.849,0.19,0.608,0.457,0.393,0.467,2
0.5,0.777,0.824,0.146,0.554,0.446,0.454,0.412,2
0.5,0.791,0.857,0.173,0.623,0.465,0.429,0.497,2
0.5,0.818,0.882,0.177,0.632,0.393,0.596,0.596,2
0.5,0.845,0.874,0.15,0.463,0.342,0.413,0.417,2
0.0,0.824,0.782,0.133,0.475,0.311,0.384,0.397,2
0.5,0.811,0.824,0.173,0.614,0.46,0.486,0.601,2
0.0,0.75,0.731,0.168,0.416,0.331,0.442,0.283,2
0.5,0.689,0.664,0.142,0.381,0.335,0.378,0.248,1
0.0,0.662,0.689,0.155,0.352,0.261,0.24,0.367,2
0.5,0.723,0.739,0.164,0.392,0.248,0.412,0.327,2
0.0,0.716,0.697,0.159,0.403,0.252,0.369,0.382,2
0.0,0.622,0.613,0.128,0.279,0.221,0.248,0.248,1
0.0,0.554,0.58,0.119,0.234,0.21,0.18,0.198,1
0.0,0.534,0.538,0.106,0.196,0.151,0.16,0.193,2
0.0,0.635,0.622,0.119,0.298,0.25,0.276,0.233,1
0.5,0.514,0.529,0.093,0.174,0.145,0.163,0.133,1
0.0,0.628,0.613,0.137,0.261,0.236,0.199,0.213,2
0.0,0.52,0.546,0.119,0.17,0.139,0.161,0.143,1
0.0,0.561,0.613,0.111,0.215,0.16,0.188,0.218,2
1.0,0.527,0.538,0.106,0.166,0.149,0.156,0.138,1
1.0,0.459,0.454,0.088,0.113,0.103,0.078,0.103,1
0.0,0.541,0.538,0.111,0.209,0.186,0.151,0.178,1
0.5,0.534,0.538,0.111,0.198,0.169,0.18,0.178,1
1.0,0.392,0.403,0.084,0.088,0.072,0.071,0.078,1
1.0,0.365,0.37,0.084,0.07,0.05,0.07,0.068,0
1.0,0.426,0.429,0.088,0.106,0.077,0.084,0.113,2
0.5,0.574,0.571,0.124,0.253,0.212,0.231,0.238,1
0.0,0.534,0.546,0.128,0.207,0.16,0.189,0.183,0
0.0,0.622,0.647,0.133,0.239,0.171,0.182,0.258,2
0.0,0.689,0.672,0.133,0.349,0.292,0.273,0.307,2
0.5,0.554,0.521,0.106,0.208,0.181,0.172,0.173,1
0.0,0.595,0.672,0.119,0.255,0.198,0.213,0.233,1
0.5,0.486,0.454,0.097,0.153,0.119,0.129,0.153,0
0.5,0.595,0.605,0.124,0.245,0.209,0.199,0.198,1
1.0,0.493,0.487,0.106,0.129,0.111,0.109,0.108,0
0.5,0.608,0.647,0.133,0.298,0.247,0.261,0.238,2
0.0,0.507,0.504,0.102,0.169,0.142,0.137,0.148,0
0.0,0.696,0.723,0.106,0.322,0.262,0.239,0.287,2
0.0,0.649,0.664,0.128,0.323,0.268,0.323,0.283,2
0.0,0.669,0.647,0.084,0.292,0.228,0.291,0.233,0
